,GeoID,Cluster,Place Name,Affiliate
0,100820,0,"Alabaster city, Alabama",
1,100988,2,"Albertville city, Alabama",
2,101132,27,"Alexander City city, Alabama",
3,101708,0,"Andalusia city, Alabama",
4,101852,35,"Anniston city, Alabama",
5,102116,0,"Arab city, Alabama",
6,102956,0,"Athens city, Alabama",
7,103004,27,"Atmore city, Alabama",
8,103076,12,"Auburn city, Alabama",
9,104660,27,"Bay Minette city, Alabama",
10,105980,1,"Bessemer city, Alabama",
11,107000,1,"Birmingham city, Alabama",
12,107912,0,"Boaz city, Alabama",
13,109500,22,"Brook Highland CDP, Alabama",
14,111416,0,"Calera city, Alabama",
15,113264,1,"Center Point city, Alabama",
16,114104,0,"Chelsea city, Alabama",
17,115136,0,"Clanton city, Alabama",
18,115256,0,"Clay city, Alabama",
19,118976,2,"Cullman city, Alabama",
20,119648,0,"Daphne city, Alabama",
21,120104,2,"Decatur city, Alabama",
22,120296,27,"Demopolis city, Alabama",
23,121184,2,"Dothan city, Alabama",
24,124184,0,"Enterprise city, Alabama",
25,124568,27,"Eufaula city, Alabama",
26,125120,34,"Fairfield city, Alabama",
27,125240,2,"Fairhope city, Alabama",
28,126896,2,"Florence city, Alabama",
29,126992,0,"Foley city, Alabama",
30,127088,31,"Forestdale CDP, Alabama",
31,127616,0,"Fort Payne city, Alabama",
32,128552,0,"Fultondale city, Alabama",
33,128696,20,"Gadsden city, Alabama",
34,129056,0,"Gardendale city, Alabama",
35,131912,1,"Greenville city, Alabama",
36,132272,29,"Gulf Shores city, Alabama",
37,132416,2,"Guntersville city, Alabama",
38,132848,0,"Hamilton city, Alabama",
39,133448,0,"Hartselle city, Alabama",
40,134024,0,"Helena city, Alabama",
41,135800,0,"Homewood city, Alabama",
42,135896,2,"Hoover city, Alabama",
43,136448,0,"Hueytown city, Alabama",
44,137000,1,"Huntsville city, Alabama",
45,137864,31,"Irondale city, Alabama",
46,138272,0,"Jacksonville city, Alabama",
47,138416,2,"Jasper city, Alabama",
48,141296,27,"Lanett city, Alabama",
49,141968,0,"Leeds city, Alabama",
50,143120,0,"Lincoln city, Alabama",
51,145784,0,"Madison city, Alabama",
52,147740,2,"Meadowbrook CDP, Alabama",
53,148112,0,"Meridianville CDP, Alabama",
54,148712,0,"Millbrook city, Alabama",
55,150000,1,"Mobile city, Alabama",Yes
56,150192,27,"Monroeville city, Alabama",
57,150312,31,"Montevallo city, Alabama",
58,151000,1,"Montgomery city, Alabama",
59,151096,0,"Moody city, Alabama",
60,151216,0,"Moores Mill CDP, Alabama",
61,151696,0,"Mountain Brook city, Alabama",
62,153016,0,"Muscle Shoals city, Alabama",
63,155200,0,"Northport city, Alabama",
64,157000,0,"Oneonta city, Alabama",
65,157048,1,"Opelika city, Alabama",
66,157120,2,"Opp city, Alabama",
67,157576,2,"Oxford city, Alabama",
68,157648,1,"Ozark city, Alabama",
69,158848,2,"Pelham city, Alabama",
70,158896,2,"Pell City city, Alabama",
71,159472,27,"Phenix City city, Alabama",
72,159760,0,"Pike Road town, Alabama",
73,160648,0,"Pinson city, Alabama",
74,161008,31,"Pleasant Grove city, Alabama",
75,162328,0,"Prattville city, Alabama",
76,162496,6,"Prichard city, Alabama",
77,163288,0,"Rainbow City city, Alabama",
78,167056,1,"Russellville city, Alabama",
79,167608,2,"Saks CDP, Alabama",
80,168160,0,"Saraland city, Alabama",
81,168352,0,"Satsuma city, Alabama",
82,168736,0,"Scottsboro city, Alabama",
83,169120,27,"Selma city, Alabama",
84,169648,0,"Sheffield city, Alabama",
85,171832,0,"Southside city, Alabama",
86,171976,0,"Spanish Fort city, Alabama",
87,174352,15,"Sylacauga city, Alabama",
88,174592,14,"Talladega city, Alabama",
89,174976,37,"Tarrant city, Alabama",
90,175768,0,"Theodore CDP, Alabama",
91,176320,0,"Tillmans Corner CDP, Alabama",
92,176920,27,"Troy city, Alabama",
93,176944,2,"Trussville city, Alabama",
94,177256,1,"Tuscaloosa city, Alabama",
95,177280,0,"Tuscumbia city, Alabama",
96,177304,2,"Tuskegee city, Alabama",
97,178204,1,"Valley city, Alabama",
98,178552,2,"Vestavia Hills city, Alabama",
99,181720,31,"Wetumpka city, Alabama",
100,203000,1,"Anchorage municipality, Alaska",Yes
101,205000,1,"Badger CDP, Alaska",
102,206520,2,"Bethel city, Alaska",
103,212920,0,"Chena Ridge CDP, Alaska",
104,216750,2,"College CDP, Alaska",
105,224230,1,"Fairbanks city, Alaska",
106,225550,0,"Fishhook CDP, Alaska",
107,228200,0,"Gateway CDP, Alaska",
108,236400,2,"Juneau city and borough, Alaska",
109,237250,0,"Kalifornsky CDP, Alaska",
110,238420,2,"Kenai city, Alaska",
111,238970,2,"Ketchikan city, Alaska",
112,240645,0,"Knik-Fairview CDP, Alaska",
113,240950,1,"Kodiak city, Alaska",
114,242832,0,"Lakes CDP, Alaska",
115,247735,0,"Meadow Lakes CDP, Alaska",
116,258660,1,"Palmer city, Alaska",
117,270540,1,"Sitka city and borough, Alaska",
118,272985,0,"Steele Creek CDP, Alaska",
119,275077,1,"Tanaina CDP, Alaska",
120,283080,2,"Wasilla city, Alaska",
121,402430,0,"Anthem CDP, Arizona",
122,402830,0,"Apache Junction city, Arizona",
123,403530,0,"Arizona City CDP, Arizona",
124,404720,1,"Avondale city, Arizona",
125,407940,0,"Buckeye city, Arizona",
126,408220,1,"Bullhead City city, Arizona",
127,409690,2,"Camp Verde town, Arizona",
128,410530,1,"Casa Grande city, Arizona",
129,410670,1,"Casas Adobes CDP, Arizona",
130,411160,0,"Catalina CDP, Arizona",
131,411230,1,"Catalina Foothills CDP, Arizona",
132,412000,1,"Chandler city, Arizona",
133,412840,0,"Chino Valley town, Arizona",
134,415500,0,"Coolidge city, Arizona",
135,416030,2,"Corona de Tucson CDP, Arizona",
136,416410,2,"Cottonwood city, Arizona",
137,420050,2,"Douglas city, Arizona",
138,420540,1,"Drexel Heights CDP, Arizona",
139,422220,0,"El Mirage city, Arizona",
140,422360,14,"Eloy city, Arizona",
141,423620,2,"Flagstaff city, Arizona",
142,423760,37,"Florence town, Arizona",
143,423960,1,"Flowing Wells CDP, Arizona",
144,424895,2,"Fort Mohave CDP, Arizona",
145,425030,2,"Fortuna Foothills CDP, Arizona",
146,425300,2,"Fountain Hills town, Arizona",
147,427400,1,"Gilbert town, Arizona",
148,427820,1,"Glendale city, Arizona",
149,428030,0,"Globe city, Arizona",
150,428140,0,"Gold Canyon CDP, Arizona",
151,428195,0,"Golden Valley CDP, Arizona",
152,428380,1,"Goodyear city, Arizona",
153,429710,0,"Green Valley CDP, Arizona",
154,430270,35,"Guadalupe town, Arizona",
155,437620,2,"Kingman city, Arizona",
156,439370,2,"Lake Havasu City city, Arizona",
157,444270,1,"Marana town, Arizona",
158,444410,0,"Maricopa city, Arizona",
159,446000,1,"Mesa city, Arizona",
160,449270,6,"New Kingman-Butler CDP, Arizona",
161,449360,0,"New River CDP, Arizona",
162,449640,2,"Nogales city, Arizona",
163,451600,1,"Oro Valley town, Arizona",
164,451810,1,"Page city, Arizona",
165,452930,2,"Paradise Valley town, Arizona",
166,453700,2,"Payson town, Arizona",
167,454050,1,"Peoria city, Arizona",
168,455000,1,"Phoenix city, Arizona",Yes
169,455300,0,"Picture Rocks CDP, Arizona",
170,457380,2,"Prescott city, Arizona",
171,457450,2,"Prescott Valley town, Arizona",
172,458150,0,"Queen Creek town, Arizona",
173,460120,0,"Rincon Valley CDP, Arizona",
174,460180,0,"Rio Rico CDP, Arizona",
175,461940,0,"Saddlebrooke CDP, Arizona",
176,462000,2,"Safford city, Arizona",
177,462140,0,"Sahuarita town, Arizona",
178,463470,1,"San Luis city, Arizona",
179,464210,0,"San Tan Valley CDP, Arizona",
180,465000,1,"Scottsdale city, Arizona",
181,465350,2,"Sedona city, Arizona",
182,466470,0,"Show Low city, Arizona",
183,466820,2,"Sierra Vista city, Arizona",
184,466845,0,"Sierra Vista Southeast CDP, Arizona",
185,468080,1,"Somerton city, Arizona",
186,470320,25,"Sun City CDP, Arizona",
187,470355,0,"Sun City West CDP, Arizona",
188,470530,0,"Sun Lakes CDP, Arizona",
189,471510,0,"Surprise city, Arizona",
190,472000,0,"Tanque Verde CDP, Arizona",
191,473000,1,"Tempe city, Arizona",
192,474190,1,"Tolleson city, Arizona",
193,476010,0,"Tuba City CDP, Arizona",
194,477000,1,"Tucson city, Arizona",Yes
195,477035,2,"Tucson Estates CDP, Arizona",
196,478540,0,"Vail CDP, Arizona",
197,478760,1,"Valencia West CDP, Arizona",
198,479830,2,"Verde Village CDP, Arizona",
199,480095,2,"Village of Oak Creek (Big Park) CDP, Arizona",
200,482740,0,"Wickenburg town, Arizona",
201,483930,5,"Winslow city, Arizona",
202,485400,31,"Youngtown town, Arizona",
203,485540,1,"Yuma city, Arizona",
204,501870,2,"Arkadelphia city, Arkansas",
205,504030,0,"Batesville city, Arkansas",
206,504600,0,"Beebe city, Arkansas",
207,504840,2,"Bella Vista city, Arkansas",
208,505290,2,"Benton city, Arkansas",
209,505320,2,"Bentonville city, Arkansas",
210,507330,2,"Blytheville city, Arkansas",
211,509460,16,"Bryant city, Arkansas",
212,510300,2,"Cabot city, Arkansas",
213,510720,1,"Camden city, Arkansas",
214,512820,0,"Centerton city, Arkansas",
215,514140,0,"Clarksville city, Arkansas",
216,515190,2,"Conway city, Arkansas",
217,518490,1,"De Queen city, Arkansas",
218,520470,0,"East End CDP, Arkansas",
219,521070,1,"El Dorado city, Arkansas",
220,523170,2,"Farmington city, Arkansas",
221,523290,2,"Fayetteville city, Arkansas",
222,524430,27,"Forrest City city, Arkansas",
223,524550,1,"Fort Smith city, Arkansas",
224,528780,0,"Greenwood city, Arkansas",
225,530460,0,"Harrison city, Arkansas",
226,531090,0,"Heber Springs city, Arkansas",
227,531190,15,"Helena-West Helena city, Arkansas",
228,533190,5,"Hope city, Arkansas",
229,533400,2,"Hot Springs city, Arkansas",
230,533482,0,"Hot Springs Village CDP, Arkansas",
231,534750,2,"Jacksonville city, Arkansas",
232,535710,2,"Jonesboro city, Arkansas",
233,541000,1,"Little Rock city, Arkansas",
234,541720,0,"Lowell city, Arkansas",
235,543460,27,"Magnolia city, Arkansas",
236,543610,2,"Malvern city, Arkansas",
237,544180,0,"Marion city, Arkansas",
238,544600,0,"Maumelle city, Arkansas",
239,546580,27,"Monticello city, Arkansas",
240,546970,0,"Morrilton city, Arkansas",
241,547390,0,"Mountain Home city, Arkansas",
242,549580,27,"Newport city, Arkansas",
243,550450,1,"North Little Rock city, Arkansas",
244,552580,27,"Osceola city, Arkansas",
245,553390,2,"Paragould city, Arkansas",
246,555310,1,"Pine Bluff city, Arkansas",
247,556540,0,"Pocahontas city, Arkansas",
248,560410,2,"Rogers city, Arkansas",
249,561670,0,"Russellville city, Arkansas",
250,563020,0,"Searcy city, Arkansas",
251,563800,0,"Sherwood city, Arkansas",
252,564370,0,"Siloam Springs city, Arkansas",
253,566080,2,"Springdale city, Arkansas",Yes
254,567490,2,"Stuttgart city, Arkansas",
255,568810,1,"Texarkana city, Arkansas",
256,570010,0,"Trumann city, Arkansas",
257,571480,2,"Van Buren city, Arkansas",
258,574540,2,"West Memphis city, Arkansas",
259,577090,1,"Wynne city, Arkansas",
260,600212,0,"Acton CDP, California",
261,600296,35,"Adelanto city, California",
262,600394,0,"Agoura Hills city, California",
263,600562,3,"Alameda city, California",
264,600618,0,"Alamo CDP, California",
265,600674,3,"Albany city, California",
266,600884,1,"Alhambra city, California",
267,600947,1,"Aliso Viejo city, California",
268,601150,31,"Alondra Park CDP, California",
269,601192,0,"Alpine CDP, California",
270,601290,1,"Altadena CDP, California",
271,601360,2,"Alta Sierra CDP, California",
272,601458,1,"Alum Rock CDP, California",
273,601640,1,"American Canyon city, California",
274,602000,1,"Anaheim city, California",Yes
275,602042,0,"Anderson city, California",
276,602210,1,"Antelope CDP, California",
277,602252,24,"Antioch city, California",
278,602364,1,"Apple Valley town, California",
279,602462,1,"Arcadia city, California",
280,602476,6,"Arcata city, California",
281,602553,1,"Arden-Arcade CDP, California",
282,602868,0,"Arroyo Grande city, California",
283,602896,18,"Artesia city, California",
284,602924,2,"Arvin city, California",
285,602980,19,"Ashland CDP, California",
286,603064,2,"Atascadero city, California",
287,603092,1,"Atherton town, California",
288,603162,24,"Atwater city, California",
289,603204,0,"Auburn city, California",
290,603209,27,"August CDP, California",
291,603302,27,"Avenal city, California",
292,603344,31,"Avocado Heights CDP, California",
293,603386,1,"Azusa city, California",
294,603526,1,"Bakersfield city, California",
295,603666,1,"Baldwin Park city, California",
296,603820,35,"Banning city, California",
297,604030,1,"Barstow city, California",
298,604415,24,"Bay Point CDP, California",
299,604758,1,"Beaumont city, California",
300,604870,1,"Bell city, California",
301,604982,1,"Bellflower city, California",
302,604996,1,"Bell Gardens city, California",
303,605108,1,"Belmont city, California",
304,605290,0,"Benicia city, California",
305,605332,1,"Ben Lomond CDP, California",
306,606000,3,"Berkeley city, California",
307,606028,0,"Bermuda Dunes CDP, California",
308,606308,1,"Beverly Hills city, California",
309,606406,0,"Big Bear City CDP, California",
310,606928,0,"Blackhawk CDP, California",
311,607064,1,"Bloomington CDP, California",
312,607218,14,"Blythe city, California",
313,607379,0,"Bonadelle Ranchos-Madera Ranchos CDP, California",
314,607414,1,"Bonita CDP, California",
315,607624,1,"Bostonia CDP, California",
316,607848,1,"Boyes Hot Springs CDP, California",
317,608058,2,"Brawley city, California",
318,608100,1,"Brea city, California",
319,608142,1,"Brentwood city, California",
320,608786,1,"Buena Park city, California",
321,608954,1,"Burbank city, California",
322,609066,3,"Burlingame city, California",
323,609598,0,"Calabasas city, California",
324,609710,14,"Calexico city, California",
325,609780,27,"California City city, California",
326,609864,0,"Calimesa city, California",
327,609878,14,"Calipatria city, California",
328,610046,1,"Camarillo city, California",
329,610256,0,"Cameron Park CDP, California",
330,610345,1,"Campbell city, California",
331,610559,37,"Camp Pendleton North CDP, California",
332,610561,5,"Camp Pendleton South CDP, California",
333,610928,0,"Canyon Lake city, California",
334,611040,0,"Capitola city, California",
335,611194,0,"Carlsbad city, California",
336,611390,1,"Carmichael CDP, California",
337,611446,1,"Carpinteria city, California",
338,611530,1,"Carson city, California",
339,611691,0,"Casa de Oro-Mount Helix CDP, California",
340,611796,0,"Castaic CDP, California",
341,611964,1,"Castro Valley CDP, California",
342,611978,27,"Castroville CDP, California",
343,612048,1,"Cathedral City city, California",
344,612524,1,"Ceres city, California",
345,612552,1,"Cerritos city, California",
346,612734,31,"Charter Oak CDP, California",
347,612902,1,"Cherryland CDP, California",
348,612916,1,"Cherry Valley CDP, California",
349,613014,2,"Chico city, California",
350,613210,1,"Chino city, California",
351,613214,1,"Chino Hills city, California",
352,613294,10,"Chowchilla city, California",
353,613392,1,"Chula Vista city, California",
354,613560,1,"Citrus CDP, California",
355,613588,1,"Citrus Heights city, California",
356,613756,1,"Claremont city, California",
357,613882,0,"Clayton city, California",
358,613945,35,"Clearlake city, California",
359,614190,2,"Cloverdale city, California",
360,614218,1,"Clovis city, California",
361,614260,1,"Coachella city, California",
362,614274,5,"Coalinga city, California",
363,614890,1,"Colton city, California",
364,614974,1,"Commerce city, California",
365,615044,24,"Compton city, California",
366,616000,1,"Concord city, California",
367,616090,3,"Contra Costa Centre CDP, California",
368,616224,14,"Corcoran city, California",
369,616322,2,"Corning city, California",
370,616350,1,"Corona city, California",
371,616378,1,"Coronado city, California",
372,616462,0,"Corte Madera town, California",
373,616532,1,"Costa Mesa city, California",
374,616560,0,"Cotati city, California",
375,616580,0,"Coto de Caza CDP, California",
376,616651,1,"Country Club CDP, California",
377,616742,1,"Covina city, California",
378,617022,2,"Crescent City city, California",
379,617162,2,"Crestline CDP, California",
380,617498,1,"Cudahy city, California",
381,617568,1,"Culver City city, California",
382,617610,22,"Cupertino city, California",
383,617750,1,"Cypress city, California",
384,617918,1,"Daly City city, California",
385,617946,1,"Dana Point city, California",
386,617988,0,"Danville town, California",
387,618100,12,"Davis city, California",
388,618352,31,"Del Aire CDP, California",
389,618394,27,"Delano city, California",
390,618464,19,"Delhi CDP, California",
391,618996,1,"Desert Hot Springs city, California",
