,0,Cluster 1 Standard Dev,Cluster 2 Mean,Cluster 2 Standard Deviation,Cluster 3 Mean,Cluster 3 Standard Deviation
GeoID,3023602.4730662983,1579264.8827158052,3031758.1194444443,1547357.7163028384,3218946.284768212,965013.396241934
Unnamed: 0,15432.225828729283,9102.370508061955,15503.778703703703,8921.261604267616,15942.887417218542,5567.51574707313
Indeed job count,294.0142993326978,240.88439703365017,153.82435344827587,184.2219253144745,680.8211920529801,177.96258356155337
Craigslist affordable house count,129.56850393700788,366.7721848770615,143.46842105263158,343.8366492333624,6.176470588235294,25.0290383939006
Population,24591.165055248617,26706.126618080532,24425.022222222222,30918.734879549458,10472.370860927153,4045.734694903418
Unemployment rate,4.954972375690603,1.7169073059522522,6.29592592592594,2.2052893854254014,5.049006622516557,1.5649863705335743
Employment to population ratio,63.32251381215472,5.693181827030908,58.03407407407402,5.865311392684519,64.53245033112583,5.024334777445655
Number of people below the poverty level,1107.870856353591,1551.8919369154744,2132.5657407407407,3098.837434452542,281.94039735099335,189.5882989282506
Number of people with a bachelors degree or higher,5160.782458563536,6233.307369660833,3162.7425925925927,4569.933042346451,2860.066225165563,1325.651289838944
Public transportation proportion,0.023505906300446293,0.028131195845392396,0.010353565857995359,0.012899632520125555,0.08139641892342263,0.05093132287556247
Simpsons diversity score,0.20904613097990551,0.12785581367083299,0.19479204682976206,0.12800472577349195,0.2871869189257665,0.1549563302179252
Affordable housing in market,95.29350828729282,177.03607966483622,245.0361111111111,343.9639284163257,9.079470198675496,19.400867052379553
Proportion of public transit to work under 30 minutes,0.2391315350904078,0.20866214713648287,0.827840045381804,0.19538070715364372,0.11000241510048382,0.11667415211291643
SNAP-authorized Stores per 1000 people (2016),0.7580474814352148,0.2482449124335251,0.766643546064275,0.26473963711404663,0.8614218792203391,0.2174886657218787
Farmers Markets per 1000 people (2016),0.028348840890969125,0.02684902475727735,0.026664905315396146,0.027892292346099162,0.020961001305084753,0.03372073674528469
Farmer Markets with SNAP per 1000 people (2016),0.0062317158125518675,0.008913288498178228,0.005894605519842484,0.008424604351526737,0.007268554627699765,0.008928367403910429
Farmer Markets with WIC per 1000 people (2016),0.0065302823267244445,0.010253589900106424,0.006315116022146562,0.009924541524079393,0.010236109084601661,0.01968188761117962
Farmer Markets with WIC Cash per 1000 people (2016),0.0024316714804855878,0.005239221236498158,0.0030656909881156664,0.006470263809289666,0.006372597447347592,0.01574269130835998
Farmer Markets with SFMNP per 1000 people (2016),0.00616179861825263,0.009906898374355011,0.006077158300380777,0.009307969536863279,0.01348183004922557,0.02199335063182561
Employment to population ratio percentage,0.6332251381215471,0.05693181827030903,0.5803407407407412,0.05865311392684514,0.6453245033112583,0.05024334777445655
Indeed job count normalized,0.01795718685739793,0.014806941289491242,0.009633635943638402,0.01132442368890279,0.06981812335002595,0.020660892289986032
Craigslist affordable house count normalized,0.0030825459676101503,0.00602564507084383,0.003157787404439016,0.005917440842457234,0.0005180262047116852,0.0021455270160630506
Number of people below the poverty level normalized,0.04308810683173582,0.0211111782264771,0.08317357910196808,0.029857997222893694,0.026727314348788427,0.014927891050966223
Number of people with a bachelors degree or higher normalized,0.20236932025748985,0.07726226773560428,0.12437940552399088,0.05431973626124252,0.273296561093315,0.06552124299078087
Population min_max_normalized,0.002173136887499004,0.003122037418220862,0.0021537142228462277,0.003614505712432733,0.0005226016224939889,0.00047296020431249897
Unemployment rate min_max_normalized,0.16853647536362604,0.05839820768545074,0.21414714033761642,0.07500984304168037,0.1717349191332161,0.053230828929713425
