,GeoID,Cluster,Place Name,Affiliate
0,100820,0,"Alabaster city, Alabama",
1,100988,1,"Albertville city, Alabama",
2,101132,156,"Alexander City city, Alabama",
3,101708,48,"Andalusia city, Alabama",
4,101852,143,"Anniston city, Alabama",
5,102116,44,"Arab city, Alabama",
6,102956,0,"Athens city, Alabama",
7,103004,172,"Atmore city, Alabama",
8,103076,70,"Auburn city, Alabama",
9,104660,115,"Bay Minette city, Alabama",
10,105980,127,"Bessemer city, Alabama",
11,107000,127,"Birmingham city, Alabama",
12,107912,1,"Boaz city, Alabama",
13,109500,220,"Brook Highland CDP, Alabama",
14,111416,0,"Calera city, Alabama",
15,113264,127,"Center Point city, Alabama",
16,114104,18,"Chelsea city, Alabama",
17,115136,4,"Clanton city, Alabama",
18,115256,14,"Clay city, Alabama",
19,118976,1,"Cullman city, Alabama",
20,119648,8,"Daphne city, Alabama",
21,120104,17,"Decatur city, Alabama",
22,120296,127,"Demopolis city, Alabama",
23,121184,15,"Dothan city, Alabama",
24,124184,1,"Enterprise city, Alabama",
25,124568,143,"Eufaula city, Alabama",
26,125120,61,"Fairfield city, Alabama",
27,125240,0,"Fairhope city, Alabama",
28,126896,1,"Florence city, Alabama",
29,126992,48,"Foley city, Alabama",
30,127088,170,"Forestdale CDP, Alabama",
31,127616,1,"Fort Payne city, Alabama",
32,128552,142,"Fultondale city, Alabama",
33,128696,21,"Gadsden city, Alabama",
34,129056,14,"Gardendale city, Alabama",
35,131912,48,"Greenville city, Alabama",
36,132272,214,"Gulf Shores city, Alabama",
37,132416,1,"Guntersville city, Alabama",
38,132848,1,"Hamilton city, Alabama",
39,133448,44,"Hartselle city, Alabama",
40,134024,0,"Helena city, Alabama",
41,135800,0,"Homewood city, Alabama",
42,135896,86,"Hoover city, Alabama",
43,136448,14,"Hueytown city, Alabama",
44,137000,15,"Huntsville city, Alabama",
45,137864,146,"Irondale city, Alabama",
46,138272,143,"Jacksonville city, Alabama",
47,138416,1,"Jasper city, Alabama",
48,141296,48,"Lanett city, Alabama",
49,141968,14,"Leeds city, Alabama",
50,143120,1,"Lincoln city, Alabama",
51,145784,85,"Madison city, Alabama",
52,147740,229,"Meadowbrook CDP, Alabama",
53,148112,170,"Meridianville CDP, Alabama",
54,148712,16,"Millbrook city, Alabama",
55,150000,48,"Mobile city, Alabama",Yes
56,150192,233,"Monroeville city, Alabama",
57,150312,13,"Montevallo city, Alabama",
58,151000,5,"Montgomery city, Alabama",
59,151096,18,"Moody city, Alabama",
60,151216,14,"Moores Mill CDP, Alabama",
61,151696,179,"Mountain Brook city, Alabama",
62,153016,27,"Muscle Shoals city, Alabama",
63,155200,16,"Northport city, Alabama",
64,157000,0,"Oneonta city, Alabama",
65,157048,17,"Opelika city, Alabama",
66,157120,200,"Opp city, Alabama",
67,157576,21,"Oxford city, Alabama",
68,157648,143,"Ozark city, Alabama",
69,158848,1,"Pelham city, Alabama",
70,158896,1,"Pell City city, Alabama",
71,159472,127,"Phenix City city, Alabama",
72,159760,41,"Pike Road town, Alabama",
73,160648,170,"Pinson city, Alabama",
74,161008,14,"Pleasant Grove city, Alabama",
75,162328,0,"Prattville city, Alabama",
76,162496,53,"Prichard city, Alabama",
77,163288,1,"Rainbow City city, Alabama",
78,167056,115,"Russellville city, Alabama",
79,167608,177,"Saks CDP, Alabama",
80,168160,0,"Saraland city, Alabama",
81,168352,14,"Satsuma city, Alabama",
82,168736,55,"Scottsboro city, Alabama",
83,169120,53,"Selma city, Alabama",
84,169648,55,"Sheffield city, Alabama",
85,171832,0,"Southside city, Alabama",
86,171976,18,"Spanish Fort city, Alabama",
87,174352,143,"Sylacauga city, Alabama",
88,174592,176,"Talladega city, Alabama",
89,174976,231,"Tarrant city, Alabama",
90,175768,14,"Theodore CDP, Alabama",
91,176320,115,"Tillmans Corner CDP, Alabama",
92,176920,48,"Troy city, Alabama",
93,176944,1,"Trussville city, Alabama",
94,177256,70,"Tuscaloosa city, Alabama",
95,177280,115,"Tuscumbia city, Alabama",
96,177304,183,"Tuskegee city, Alabama",
97,178204,16,"Valley city, Alabama",
98,178552,179,"Vestavia Hills city, Alabama",
99,181720,143,"Wetumpka city, Alabama",
100,203000,5,"Anchorage municipality, Alaska",Yes
101,205000,8,"Badger CDP, Alaska",
102,206520,1,"Bethel city, Alaska",
103,212920,0,"Chena Ridge CDP, Alaska",
104,216750,1,"College CDP, Alaska",
105,224230,1,"Fairbanks city, Alaska",
106,225550,0,"Fishhook CDP, Alaska",
107,228200,0,"Gateway CDP, Alaska",
108,236400,72,"Juneau city and borough, Alaska",
109,237250,1,"Kalifornsky CDP, Alaska",
110,238420,1,"Kenai city, Alaska",
111,238970,1,"Ketchikan city, Alaska",
112,240645,26,"Knik-Fairview CDP, Alaska",
113,240950,16,"Kodiak city, Alaska",
114,242832,0,"Lakes CDP, Alaska",
115,247735,162,"Meadow Lakes CDP, Alaska",
116,258660,1,"Palmer city, Alaska",
117,270540,1,"Sitka city and borough, Alaska",
118,272985,0,"Steele Creek CDP, Alaska",
119,275077,12,"Tanaina CDP, Alaska",
120,283080,200,"Wasilla city, Alaska",
121,402430,0,"Anthem CDP, Arizona",
122,402830,44,"Apache Junction city, Arizona",
123,403530,85,"Arizona City CDP, Arizona",
124,404720,16,"Avondale city, Arizona",
125,407940,44,"Buckeye city, Arizona",
126,408220,54,"Bullhead City city, Arizona",
127,409690,1,"Camp Verde town, Arizona",
128,410530,159,"Casa Grande city, Arizona",
129,410670,1,"Casas Adobes CDP, Arizona",
130,411160,4,"Catalina CDP, Arizona",
131,411230,0,"Catalina Foothills CDP, Arizona",
132,412000,0,"Chandler city, Arizona",
133,412840,27,"Chino Valley town, Arizona",
