count,geoid,place,region,state
78,5340805,"Lynden city, Washington",Lynden,Washington
67,3948244,"Massillon city, Ohio",Massillon,Ohio
43,3903828,"Barberton city, Ohio",Barberton,Ohio
4,4871540,"Sweetwater city, Texas",Sweetwater,Texas
63,3974944,"Stow city, Ohio",Stow,Ohio
1329,3901000,"Akron city, Ohio",Akron,Ohio
539,3919778,"Cuyahoga Falls city, Ohio",Cuyahoga Falls,Ohio
4,4810780,"Brownwood city, Texas",Brownwood,Texas
12,3945976,"Macedonia city, Ohio",Macedonia,Ohio
31,3909680,"Brunswick city, Ohio",Brunswick,Ohio
87,3912000,"Canton city, Ohio",Canton,Ohio
148,3976106,"Tallmadge city, Ohio",Tallmadge,Ohio
441,4801000,"Abilene city, Texas",Abilene,Texas
20,3980304,"Wadsworth city, Ohio",Wadsworth,Ohio
11,3978050,"Twinsburg city, Ohio",Twinsburg,Ohio
17,3931860,"Green city, Ohio",Green,Ohio
8,3936651,"Hudson city, Ohio",Hudson,Ohio
15,3965592,"Ravenna city, Ohio",Ravenna,Ohio
7,3901420,"Alliance city, Ohio",Alliance,Ohio
26,3948790,"Medina city, Ohio",Medina,Ohio
29,3975014,"Streetsboro city, Ohio",Streetsboro,Ohio
330,3939872,"Kent city, Ohio",Kent,Ohio
609,3665508,"Schenectady city, New York",Schenectady,New York
110,3616749,"Cohoes city, New York",Cohoes,New York
175,3678674,"Watervliet city, New York",Watervliet,New York
count,geoid,place,region,state
78,5340805,"Lynden city, Washington",Lynden,Washington
67,3948244,"Massillon city, Ohio",Massillon,Ohio
43,3903828,"Barberton city, Ohio",Barberton,Ohio
4,4871540,"Sweetwater city, Texas",Sweetwater,Texas
4,4810780,"Brownwood city, Texas",Brownwood,Texas
63,3974944,"Stow city, Ohio",Stow,Ohio
87,3912000,"Canton city, Ohio",Canton,Ohio
1329,3901000,"Akron city, Ohio",Akron,Ohio
148,3976106,"Tallmadge city, Ohio",Tallmadge,Ohio
539,3919778,"Cuyahoga Falls city, Ohio",Cuyahoga Falls,Ohio
12,3945976,"Macedonia city, Ohio",Macedonia,Ohio
31,3909680,"Brunswick city, Ohio",Brunswick,Ohio
441,4801000,"Abilene city, Texas",Abilene,Texas
20,3980304,"Wadsworth city, Ohio",Wadsworth,Ohio
11,3978050,"Twinsburg city, Ohio",Twinsburg,Ohio
17,3931860,"Green city, Ohio",Green,Ohio
8,3936651,"Hudson city, Ohio",Hudson,Ohio
15,3965592,"Ravenna city, Ohio",Ravenna,Ohio
7,3901420,"Alliance city, Ohio",Alliance,Ohio
26,3948790,"Medina city, Ohio",Medina,Ohio
29,3975014,"Streetsboro city, Ohio",Streetsboro,Ohio
330,3939872,"Kent city, Ohio",Kent,Ohio
609,3665508,"Schenectady city, New York",Schenectady,New York
110,3616749,"Cohoes city, New York",Cohoes,New York
175,3678674,"Watervliet city, New York",Watervliet,New York
count,geoid,place,region,state
67,3948244,"Massillon city, Ohio",Massillon,Ohio
78,5340805,"Lynden city, Washington",Lynden,Washington
43,3903828,"Barberton city, Ohio",Barberton,Ohio
87,3912000,"Canton city, Ohio",Canton,Ohio
63,3974944,"Stow city, Ohio",Stow,Ohio
4,4871540,"Sweetwater city, Texas",Sweetwater,Texas
4,4810780,"Brownwood city, Texas",Brownwood,Texas
12,3945976,"Macedonia city, Ohio",Macedonia,Ohio
20,3980304,"Wadsworth city, Ohio",Wadsworth,Ohio
441,4801000,"Abilene city, Texas",Abilene,Texas
1329,3901000,"Akron city, Ohio",Akron,Ohio
148,3976106,"Tallmadge city, Ohio",Tallmadge,Ohio
539,3919778,"Cuyahoga Falls city, Ohio",Cuyahoga Falls,Ohio
31,3909680,"Brunswick city, Ohio",Brunswick,Ohio
11,3978050,"Twinsburg city, Ohio",Twinsburg,Ohio
17,3931860,"Green city, Ohio",Green,Ohio
8,3936651,"Hudson city, Ohio",Hudson,Ohio
15,3965592,"Ravenna city, Ohio",Ravenna,Ohio
7,3901420,"Alliance city, Ohio",Alliance,Ohio
26,3948790,"Medina city, Ohio",Medina,Ohio
29,3975014,"Streetsboro city, Ohio",Streetsboro,Ohio
330,3939872,"Kent city, Ohio",Kent,Ohio
609,3665508,"Schenectady city, New York",Schenectady,New York
175,3678674,"Watervliet city, New York",Watervliet,New York
110,3616749,"Cohoes city, New York",Cohoes,New York
count,geoid,place,region,state
0,4868624,"Snyder city, Texas",Snyder,Texas
67,3948244,"Massillon city, Ohio",Massillon,Ohio
78,5340805,"Lynden city, Washington",Lynden,Washington
