count,geoid,minwage,place,region,state
448,5340805,11.5,"Lynden city, Washington",Lynden,Washington
0,4868624,7.25,"Snyder city, Texas",Snyder,Texas
66,3974944,8.3,"Stow city, Ohio",Stow,Ohio
78,3948244,8.3,"Massillon city, Ohio",Massillon,Ohio
57,3945976,8.3,"Macedonia city, Ohio",Macedonia,Ohio
149,3976106,8.3,"Tallmadge city, Ohio",Tallmadge,Ohio
1449,3901000,8.3,"Akron city, Ohio",Akron,Ohio
97,3912000,8.3,"Canton city, Ohio",Canton,Ohio
37,3909680,8.3,"Brunswick city, Ohio",Brunswick,Ohio
1,3903086,8.3,"Aurora city, Ohio",Aurora,Ohio
43,3903828,8.3,"Barberton city, Ohio",Barberton,Ohio
4,4810780,7.25,"Brownwood city, Texas",Brownwood,Texas
625,3919778,8.3,"Cuyahoga Falls city, Ohio",Cuyahoga Falls,Ohio
29,3980304,8.3,"Wadsworth city, Ohio",Wadsworth,Ohio
54,3978050,8.3,"Twinsburg city, Ohio",Twinsburg,Ohio
4,4871540,7.25,"Sweetwater city, Texas",Sweetwater,Texas
21,3931860,8.3,"Green city, Ohio",Green,Ohio
9,3936651,8.3,"Hudson city, Ohio",Hudson,Ohio
15,3965592,8.3,"Ravenna city, Ohio",Ravenna,Ohio
7,3901420,8.3,"Alliance city, Ohio",Alliance,Ohio
29,3948790,8.3,"Medina city, Ohio",Medina,Ohio
449,4801000,7.25,"Abilene city, Texas",Abilene,Texas
50,3975014,8.3,"Streetsboro city, Ohio",Streetsboro,Ohio
360,3939872,8.3,"Kent city, Ohio",Kent,Ohio
1497,3665508,10.4,"Schenectady city, New York",Schenectady,New York
180,3616749,10.4,"Cohoes city, New York",Cohoes,New York
270,3678674,10.4,"Watervliet city, New York",Watervliet,New York
count,geoid,minwage,place,region,state
0,4868624,7.25,"Snyder city, Texas",Snyder,Texas
4,4810780,7.25,"Brownwood city, Texas",Brownwood,Texas
4,4871540,7.25,"Sweetwater city, Texas",Sweetwater,Texas
447,5340805,11.5,"Lynden city, Washington",Lynden,Washington
79,3948244,8.3,"Massillon city, Ohio",Massillon,Ohio
66,3974944,8.3,"Stow city, Ohio",Stow,Ohio
625,3919778,8.3,"Cuyahoga Falls city, Ohio",Cuyahoga Falls,Ohio
37,3909680,8.3,"Brunswick city, Ohio",Brunswick,Ohio
57,3945976,8.3,"Macedonia city, Ohio",Macedonia,Ohio
99,3912000,8.3,"Canton city, Ohio",Canton,Ohio
149,3976106,8.3,"Tallmadge city, Ohio",Tallmadge,Ohio
443,4801000,7.25,"Abilene city, Texas",Abilene,Texas
1452,3901000,8.3,"Akron city, Ohio",Akron,Ohio
1,3903086,8.3,"Aurora city, Ohio",Aurora,Ohio
29,3980304,8.3,"Wadsworth city, Ohio",Wadsworth,Ohio
43,3903828,8.3,"Barberton city, Ohio",Barberton,Ohio
54,3978050,8.3,"Twinsburg city, Ohio",Twinsburg,Ohio
15,3965592,8.3,"Ravenna city, Ohio",Ravenna,Ohio
9,3936651,8.3,"Hudson city, Ohio",Hudson,Ohio
22,3931860,8.3,"Green city, Ohio",Green,Ohio
6,3901420,8.3,"Alliance city, Ohio",Alliance,Ohio
29,3948790,8.3,"Medina city, Ohio",Medina,Ohio
9,3543370,7.5,"Los Lunas village, New Mexico",Los Lunas,New Mexico
1,1302116,5.15,"Americus city, Georgia",Americus,Georgia
0,1376476,5.15,"Tifton city, Georgia",Tifton,Georgia
4,1319616,5.15,"Cordele city, Georgia",Cordele,Georgia
