,Unnamed: 0,FEATURE_ID,FEATURE_NAME,FEATURE_CLASS,STATE_ALPHA,STATE_NUMERIC,COUNTY_NAME,COUNTY_NUMERIC,PRIMARY_LAT_DMS,PRIM_LONG_DMS,PRIM_LAT_DEC,PRIM_LONG_DEC,SOURCE_LAT_DMS,SOURCE_LONG_DMS,SOURCE_LAT_DEC,SOURCE_LONG_DEC,ELEV_IN_M,ELEV_IN_FT,MAP_NAME,DATE_CREATED,DATE_EDITED
5086,379327,428803,City of Chicago,Civil,IL,17,Cook,31.0,415013N,0874105W,41.8369037,-87.6847476,,,,,181.0,594.0,Englewood,09/01/1995,07/14/2018
7473,417482,467384,City of Algona,Civil,IA,19,Kossuth,109.0,430428N,0941348W,43.0743166,-94.2301199,,,,,363.0,1191.0,Algona,09/01/1995,07/13/2018
7521,417530,467432,City of Belle Plaine,Civil,IA,19,Benton,11.0,415343N,0921631W,41.8952524,-92.2753004,,,,,248.0,814.0,Belle Plaine,09/01/1995,07/13/2018
7552,417561,467463,City of Bloomfield,Civil,IA,19,Davis,51.0,404456N,0922503W,40.7487671,-92.4173637,,,,,255.0,837.0,Bloomfield South,09/01/1995,07/14/2018
7621,417630,467532,City of Carroll,Civil,IA,19,Carroll,27.0,420411N,0945153W,42.0698601,-94.8647391,,,,,389.0,1276.0,Carroll East,09/01/1995,07/14/2018
7656,417665,467567,City of Cedar Rapids,Civil,IA,19,Linn,113.0,415800N,0914041W,41.9667319,-91.6781679,,,,,222.0,728.0,Cedar Rapids South,09/01/1995,07/14/2018
7678,417687,467589,City of Centerville,Civil,IA,19,Appanoose,7.0,404346N,0925218W,40.729391,-92.8717481,,,,,306.0,1004.0,Centerville East,09/01/1995,07/14/2018
7680,417689,467591,City of Chariton,Civil,IA,19,Lucas,117.0,410103N,0931834W,41.0175751,-93.3094486,,,,,317.0,1040.0,Chariton,09/01/1995,07/13/2018
7681,417690,467592,City of Charles City,Civil,IA,19,Floyd,67.0,430352N,0924028W,43.0643521,-92.6745202,,,,,302.0,991.0,Charles City,09/01/1995,07/13/2018
7707,417716,467618,City of Clear Lake,Civil,IA,19,Cerro Gordo,33.0,430805N,0932226W,43.1346536,-93.3739922,,,,,375.0,1230.0,Clear Lake East,09/01/1995,07/14/2018
7714,417723,467625,City of Clinton,Civil,IA,19,Clinton,45.0,415036N,0901427W,41.8434359,-90.2407895,,,,,195.0,640.0,Clinton,09/01/1995,07/13/2018
7755,417764,467666,City of Creston,Civil,IA,19,Union,175.0,410335N,0942154W,41.05972979999999,-94.3650388,,,,,392.0,1286.0,Creston East,09/01/1995,07/13/2018
7761,417770,467672,City of Dakota City,Civil,IA,19,Humboldt,91.0,424322N,0941152W,42.7229033,-94.1976919,,,,,344.0,1129.0,Humboldt,09/01/1995,07/14/2018
7833,417842,467744,City of Dubuque,Civil,IA,19,Dubuque,61.0,423002N,0904225W,42.5006831,-90.7068372,,,,,253.0,830.0,Dubuque North,09/01/1995,07/14/2018
7858,417867,467769,City of Eldora,Civil,IA,19,Hardin,83.0,422138N,0930605W,42.3605951,-93.1012867,,,,,326.0,1070.0,Eldora,09/01/1995,07/14/2018
7900,417909,467811,City of Fairfield,Civil,IA,19,Jefferson,101.0,410024N,0915802W,41.00661,-91.967096,,,,,236.0,774.0,Fairfield North,09/01/1995,07/14/2018
7916,417925,467827,City of Fayette,Civil,IA,19,Fayette,65.0,425029N,0914813W,42.8415054,-91.8036753,,,,,305.0,1001.0,Fayette,09/01/1995,07/13/2018
7932,417941,467843,City of Fort Dodge,Civil,IA,19,Webster,187.0,423035N,0941030W,42.5098032,-94.1751054,,,,,340.0,1115.0,Fort Dodge North,09/01/1995,07/14/2018
8068,418077,467979,City of Grinnell,Civil,IA,19,Poweshiek,157.0,414414N,0924328W,41.7372767,-92.7244148,,,,,310.0,1017.0,Grinnell South,09/01/1995,07/14/2018
