,Unnamed: 0,p_GEO.id2,p_GEO.display-label,p_HC01_VC03,state,abbr,region,result,url
631,12492,2708794,"Burnsville city, Minnesota",61302,Minnesota,MN,Burnsville,"Burnsville, MN",https://minneapolis.craigslist.org/?search_distance=5.1&postal=55306
632,11545,2537875,"Malden city, Massachusetts",61212,Massachusetts,MA,Malden,"Malden, MA",https://boston.craigslist.org/?search_distance=1.9&postal=02148
633,17913,3676540,"Utica city, New York",61114,New York,NY,Utica,"Utica, NY",https://utica.craigslist.org/?search_distance=6.1&postal=13504
634,2830,648914,"Monterey Park city, California",61056,California,CA,Monterey Park,"Monterey Park, CA",https://losangeles.craigslist.org/?search_distance=2.8&postal=91754
635,12829,2735180,"Lakeville city, Minnesota",61056,Minnesota,MN,Lakeville,"Lakeville, MN",https://minneapolis.craigslist.org/?search_distance=5.7&postal=55044
636,3633,831660,"Grand Junction city, Colorado",60882,Colorado,CO,Grand Junction,"Grand Junction, CO",https://westslope.craigslist.org/?search_distance=29.5&postal=81506
637,16351,3476070,"Vineland city, New Jersey",60824,New Jersey,NJ,Vineland,"Vineland, NJ",https://southjersey.craigslist.org/?search_distance=6.1&postal=08360
638,21441,4169600,"Springfield city, Oregon",60823,Oregon,OR,Springfield,"Springfield, OR",https://miami.craigslist.org/?search_distance=3.6&postal=33141
639,2865,650398,"National City city, California",60715,California,CA,National,"National City, CA",https://quebec.craigslist.org/?search_distance=14.5&postal=G0A&lang=en&cc=us
640,27773,5357535,"Redmond city, Washington",60712,Washington,WA,Redmond,"Redmond, WA",https://seattle.craigslist.org/?search_distance=5.6&postal=98073&lang=fr&cc=ca
641,8022,1875428,"Terre Haute city, Indiana",60691,Indiana,IN,Terre Haute,"Terre Haute, IN",https://terrehaute.craigslist.org/?search_distance=9.7&postal=47801
642,2258,617610,"Cupertino city, California",60687,California,CA,Cupertino,"Cupertino, CA",https://sfbay.craigslist.org/?search_distance=4.2&postal=95014
643,29074,5585300,"West Allis city, Wisconsin",60546,Wisconsin,WI,West Allis,no result,
644,3918,908420,"Bristol city, Connecticut",60498,Connecticut,CT,Bristol,"Bristol, CT",https://hartford.craigslist.org/?search_distance=4&postal=06010
645,26553,4975360,"Taylorsville city, Utah",60377,Utah,UT,Taylorsville,no match,
646,25890,4863572,"Rowlett city, Texas",60357,Texas,TX,Rowlett,"Rowlett, TX",https://dallas.craigslist.org/?search_distance=5.5&postal=75088
647,27164,5166672,"Reston CDP, Virginia",60352,Virginia,VA,Reston,"Reston, VA",https://washingtondc.craigslist.org/?search_distance=5.6&postal=20191
648,4798,1258575,"Port Orange city, Florida",60315,Florida,FL,Port Orange,"Port Orange, FL",https://daytona.craigslist.org/?search_distance=3.4&postal=32129
