,Unnamed: 0,p_GEO.id2,p_GEO.display-label,p_HC01_VC03,state,abbr,region,result,url
3121,27626,5340805,"Lynden city, Washington",13452,Washington,WA,Lynden,"Lynden, WA",https://abbotsford.craigslist.org/?search_distance=5.6&postal=98264
3547,26007,4868624,"Snyder city, Texas",11543,Texas,TX,Snyder,"Snyder, TX",https://abilene.craigslist.org/?search_distance=10.2&postal=79549
3767,26068,4871540,"Sweetwater city, Texas",10740,Texas,TX,Sweetwater,"Sweetwater, TX",https://abilene.craigslist.org/?search_distance=10.9&postal=79556
2331,24704,4810780,"Brownwood city, Texas",18841,Texas,TX,Brownwood,"Brownwood, TX",https://abilene.craigslist.org/?search_distance=14.7&postal=76804
227,24524,4801000,"Abilene city, Texas",122762,Texas,TX,Abilene,"Abilene, TX",https://abilene.craigslist.org/?search_distance=15.7&postal=79699
1327,19815,3948244,"Massillon city, Ohio",32320,Ohio,OH,Massillon,"Massillon, OH",https://akroncanton.craigslist.org/?search_distance=10.4&postal=44647
514,19340,3912000,"Canton city, Ohio",71763,Ohio,OH,Canton,"Canton, OH",https://akroncanton.craigslist.org/?search_distance=11.3&postal=44750
119,19178,3901000,"Akron city, Ohio",198252,Ohio,OH,Akron,"Akron, OH",https://akroncanton.craigslist.org/?search_distance=12.8&postal=44312
1224,20212,3974944,"Stow city, Ohio",34743,Ohio,OH,Stow,"Stow, OH",https://akroncanton.craigslist.org/?search_distance=2.8&postal=44224
2487,20231,3976106,"Tallmadge city, Ohio",17506,Ohio,OH,Tallmadge,"Tallmadge, OH",https://akroncanton.craigslist.org/?search_distance=3.3&postal=44278
832,19430,3919778,"Cuyahoga Falls city, Ohio",49329,Ohio,OH,Cuyahoga Falls,"Cuyahoga Falls, OH",https://akroncanton.craigslist.org/?search_distance=3.6&postal=44221
3506,19781,3945976,"Macedonia city, Ohio",11715,Ohio,OH,Macedonia,"Macedonia, OH",https://akroncanton.craigslist.org/?search_distance=3.9&postal=44056
1228,19310,3909680,"Brunswick city, Ohio",34658,Ohio,OH,Brunswick,"Brunswick, OH",https://akroncanton.craigslist.org/?search_distance=3.9&postal=44212
1650,19225,3903828,"Barberton city, Ohio",26230,Ohio,OH,Barberton,"Barberton, OH",https://akroncanton.craigslist.org/?search_distance=4.1&postal=44203
2725,19212,3903086,"Aurora city, Ohio",15766,Ohio,OH,Aurora,"Aurora, OH",https://akroncanton.craigslist.org/?search_distance=4.2&postal=44202
1925,20290,3980304,"Wadsworth city, Ohio",22843,Ohio,OH,Wadsworth,"Wadsworth, OH",https://akroncanton.craigslist.org/?search_distance=4.2&postal=44282
2328,20259,3978050,"Twinsburg city, Ohio",18849,Ohio,OH,Twinsburg,"Twinsburg, OH",https://akroncanton.craigslist.org/?search_distance=4.3&postal=44087
1683,19587,3931860,"Green city, Ohio",25741,Ohio,OH,Green,"Green, OH",https://akroncanton.craigslist.org/?search_distance=4.3&postal=44232
1969,19658,3936651,"Hudson city, Ohio",22250,Ohio,OH,Hudson,"Hudson, OH",https://akroncanton.craigslist.org/?search_distance=4.3&postal=44236
3552,20075,3965592,"Ravenna city, Ohio",11530,Ohio,OH,Ravenna,"Ravenna, OH",https://akroncanton.craigslist.org/?search_distance=4.5&postal=44266
1996,19182,3901420,"Alliance city, Ohio",22036,Ohio,OH,Alliance,"Alliance, OH",https://akroncanton.craigslist.org/?search_distance=4.7&postal=44601
1643,19822,3948790,"Medina city, Ohio",26348,Ohio,OH,Medina,"Medina, OH",https://akroncanton.craigslist.org/?search_distance=5.9&postal=44258
2641,20215,3975014,"Streetsboro city, Ohio",16305,Ohio,OH,Streetsboro,"Streetsboro, OH",https://akroncanton.craigslist.org/?search_distance=6.3&postal=44241
1456,19686,3939872,"Kent city, Ohio",29771,Ohio,OH,Kent,"Kent, OH",https://akroncanton.craigslist.org/?search_distance=8.7&postal=44240
573,17785,3665508,"Schenectady city, New York",65705,New York,NY,Schenectady,"Schenectady, NY",https://albany.craigslist.org/?search_distance=12.2&postal=12309
3917,17956,3678674,"Watervliet city, New York",10201,New York,NY,Watervliet,"Watervliet, NY",https://albany.craigslist.org/?search_distance=2.3&postal=12189
2600,17035,3616749,"Cohoes city, New York",16574,New York,NY,Cohoes,"Cohoes, NY",https://albany.craigslist.org/?search_distance=2.8&postal=12047
2139,17749,3663924,"Rotterdam CDP, New York",20470,New York,NY,Rotterdam,"Rotterdam Junction, NY",https://albany.craigslist.org/?search_distance=4.1&postal=12150
2425,16860,3602066,"Amsterdam city, New York",17974,New York,NY,Amsterdam,"Amsterdam, NY",https://albany.craigslist.org/?search_distance=5.6&postal=12010
826,17896,3675484,"Troy city, New York",49826,New York,NY,Troy,"Troy, NY",https://albany.craigslist.org/?search_distance=6&postal=12183
319,16844,3601000,"Albany city, New York",98498,New York,NY,Albany,"Albany, NY",https://albany.craigslist.org/?search_distance=8.4&postal=12204
