baths,beds,contentLen,craigId,date,latitude,link,longitude,numPic,postDate,price,reposts,size,title,updateDate,zipcode
1.0,2,21,6836151323,Mar 26,47.638626,https://seattle.craigslist.org/see/apa/d/seattle-eastlake-lake-union-2-bedroom/6836151323.html,-122.327057,6,"2019-03-07T18:13:46-0800,2019-03-07T18:13:46-0800,2019-03-26T04:22:12-0700",1700,0,720,Eastlake Lake Union  2 bedroom,"2019-03-07T18:13:46-0800,2019-03-07T18:13:46-0800,2019-03-26T04:22:12-0700",
1.0,2,27,6828207064,Mar 26,47.6302,https://seattle.craigslist.org/see/apa/d/seattle-eastlake-lake-union-2-bedroom/6828207064.html,-122.321,10,"2019-02-25T16:08:30-0800,2019-02-25T16:08:30-0800,2019-03-26T04:21:19-0700",1800,0,740,Eastlake Lake Union  2 bedroom,"2019-02-25T16:08:30-0800,2019-02-25T16:08:30-0800,2019-03-26T04:21:19-0700",
1.0,2,18,6850535592,Mar 25,47.537254,https://seattle.craigslist.org/see/apa/d/seattle-lincoln-park-2-bedroom-apartment/6850535592.html,-122.392502,0,"2019-03-25T20:05:49-0700,2019-03-25T20:05:49-0700",1595,0,,Lincoln Park 2 Bedroom Apartment,"2019-03-25T20:05:49-0700,2019-03-25T20:05:49-0700",
1.0,2,18,6850535012,Mar 25,47.58122,https://seattle.craigslist.org/see/apa/d/seattle-west-seattle-2-bd-apt/6850535012.html,-122.383438,0,"2019-03-25T20:04:18-0700,2019-03-25T20:04:18-0700",1595,0,,West Seattle 2 BD Apt,"2019-03-25T20:04:18-0700,2019-03-25T20:04:18-0700",
1.0,1,28,6850474790,Mar 25,47.680038,https://seattle.craigslist.org/see/apa/d/seattle-traditional-one-bedroom-at/6850474790.html,-122.376409,20,"2019-03-25T18:04:23-0700,2019-03-25T18:04:23-0700",1895,0,631,Traditional One Bedroom at Lillehammer! $99 security deposit special!,"2019-03-25T18:04:23-0700,2019-03-25T18:04:23-0700",
1.0,0,3,6846045578,Mar 25,47.622385,https://seattle.craigslist.org/see/apa/d/seattle-reservable-on-site-parking/6846045578.html,-122.335853,4,"2019-03-20T09:56:37-0700,2019-03-20T09:56:37-0700,2019-03-25T18:02:13-0700",1290,0,264,"Reservable On-Site Parking, Onsite Laundry Center, Night Patrol","2019-03-20T09:56:37-0700,2019-03-20T09:56:37-0700,2019-03-25T18:02:13-0700",
1.0,0,31,6850451448,Mar 25,47.632812,https://seattle.craigslist.org/see/apa/d/seattle-large-windows-condo-finishes/6850451448.html,-122.325915,10,"2019-03-25T17:27:28-0700,2019-03-25T17:27:28-0700",1877,0,541,Large Windows & Condo Finishes! Tour Equinox & Be Amazed!,"2019-03-25T17:27:28-0700,2019-03-25T17:27:28-0700",
2.0,2,19,6850451430,Mar 25,47.680371,https://seattle.craigslist.org/see/apa/d/seattle-gourmet-kitchen-breakfast-bar/6850451430.html,-122.32446,13,"2019-03-25T17:27:26-0700,2019-03-25T17:27:26-0700",2580,0,1039,"Gourmet Kitchen w/ Breakfast Bar, Master Walk-In Closet, & Parking Available","2019-03-25T17:27:26-0700,2019-03-25T17:27:26-0700",
1.0,1,32,6850428660,Mar 25,47.546515,https://seattle.craigslist.org/see/apa/d/seattle-make-yourself-at-home-its-ready/6850428660.html,-122.375979,22,"2019-03-25T16:54:02-0700,2019-03-25T16:54:02-0700",1880,0,729,Make Yourself at Home! It's Ready Just for You! 6 weeks Free!,"2019-03-25T16:54:02-0700,2019-03-25T16:54:02-0700",
,,91,6847720482,Mar 25,47.62212,https://seattle.craigslist.org/see/apa/d/seattle-amazing-rooftop-views-fitness/6847720482.html,-122.323937,20,"2019-03-22T10:17:55-0700,2019-03-22T10:17:55-0700,2019-03-25T16:52:06-0700",2550,0,697,"Amazing Rooftop Views, Fitness Center, AND Pet Friendly!","2019-03-22T10:17:55-0700,2019-03-22T10:17:55-0700,2019-03-25T16:52:06-0700",
2.0,2,23,6850396938,Mar 25,47.623539,https://seattle.craigslist.org/see/apa/d/seattle-washers-dryers-elevators-two/6850396938.html,-122.331746,13,"2019-03-25T16:10:50-0700,2019-03-25T16:10:50-0700",3138,0,1048,"Washers & dryers, Elevators, Two interior finish packages","2019-03-25T16:10:50-0700,2019-03-25T16:10:50-0700",
