baths,beds,contentLen,craigId,date,latitude,link,longitude,numPic,postDate,price,reposts,size,title,updateDate,zipcode
1.0,0,6,6850901339,Mar 26,47.660093,https://seattle.craigslist.org/see/apa/d/seattle-take-tour-at-the-malloy-today/6850901339.html,-122.311737,8,"2019-03-26T10:19:17-0700,2019-03-26T10:19:17-0700",1268,0,307,Take a tour at the Malloy today!!! New modern interior!!!,"2019-03-26T10:19:17-0700,2019-03-26T10:19:17-0700",
1.0,1,43,6850901168,Mar 26,47.703105,https://seattle.craigslist.org/see/apa/d/one-bedroom-apartment-with-study-nook/6850901168.html,-122.324202,6,"2019-03-26T10:19:07-0700,2019-03-26T10:19:07-0700",1775,0,697,ONE-BEDROOM APARTMENT WITH STUDY NOOK!,"2019-03-26T10:19:07-0700,2019-03-26T10:19:07-0700",
,,36,6849223427,Mar 26,47.5627,https://seattle.craigslist.org/see/apa/d/rvs-spaces-in-fall-city-snoqualmie/6849223427.html,-121.864557,5,"2019-03-24T09:36:04-0700,2019-03-24T09:36:04-0700,2019-03-26T09:54:22-0700",850,0,,"RV's Spaces in Fall City / Snoqualmie,  Spring Glen Mobile Home Park","2019-03-24T09:36:04-0700,2019-03-24T09:36:04-0700,2019-03-26T09:54:22-0700",
1.0,2,21,6850876515,Mar 26,47.733226,https://seattle.craigslist.org/see/apa/d/seattle-open-house-this-weekend/6850876515.html,-122.343181,13,"2019-03-26T09:55:19-0700,2019-03-26T09:55:19-0700",1695,0,850,OPEN HOUSE THIS WEEKEND!,"2019-03-26T09:55:19-0700,2019-03-26T09:55:19-0700",
1.0,1,17,6844595791,Mar 26,47.614468,https://seattle.craigslist.org/see/apa/d/seattle-modern-top-floor-apt-with/6844595791.html,-122.326713,20,"2019-03-18T13:59:45-0700,2019-03-18T13:59:45-0700,2019-03-26T09:18:52-0700",2500,0,636,Modern top floor apt with balcony,"2019-03-18T13:59:45-0700,2019-03-18T13:59:45-0700,2019-03-26T09:18:52-0700",
1.0,0,8,6840732198,Mar 26,47.61932,https://seattle.craigslist.org/see/apa/d/seattle-spectacular-studio-in-iconic/6840732198.html,-122.325337,7,"2019-03-13T13:55:41-0700,2019-03-13T13:55:41-0700,2019-03-26T09:18:39-0700",1400,0,,★ Spectacular Studio in Iconic Capitol Hill Building ★,"2019-03-13T13:55:41-0700,2019-03-13T13:55:41-0700,2019-03-26T09:18:39-0700",
1.0,1,7,6839494087,Mar 26,47.653625,https://seattle.craigslist.org/see/apa/d/seattle-beautiful-spacious-condo-with/6839494087.html,-122.390513,12,"2019-03-12T07:13:38-0700,2019-03-12T07:13:38-0700,2019-03-26T08:07:35-0700",1595,0,752,Beautiful Spacious Condo with swimming pool next to Lawton Park!,"2019-03-12T07:13:38-0700,2019-03-12T07:13:38-0700,2019-03-26T08:07:35-0700",
1.0,1,24,6845711136,Mar 26,47.674317,https://seattle.craigslist.org/see/apa/d/new-apartment-studio-near-of-ballard/6845711136.html,-122.360616,9,"2019-03-19T21:06:20-0700,2019-03-19T21:06:20-0700,2019-03-26T08:05:52-0700",1695,0,400,▶ NEW APARTMENT/STUDIO ✓ Near ❤ of Ballard ◀,"2019-03-19T21:06:20-0700,2019-03-19T21:06:20-0700,2019-03-26T08:05:52-0700",
2.0,3,46,6846550719,Mar 25,47.4889,https://seattle.craigslist.org/see/apa/d/seattle-beautiful-3-beds-2-baths-upper/6846550719.html,-122.3012,12,"2019-03-20T21:32:00-0700,2019-03-20T21:32:00-0700,2019-03-25T22:18:54-0700",2195,0,1330,"Beautiful 3 Beds 2 Baths Upper Unit (1,330 sqf) in South Seattle","2019-03-20T21:32:00-0700,2019-03-20T21:32:00-0700,2019-03-25T22:18:54-0700",
1.0,2,31,6850574932,Mar 25,47.673595,https://seattle.craigslist.org/see/apa/d/seattle-charming-ballard-bungalow/6850574932.html,-122.364242,3,"2019-03-25T22:13:15-0700,2019-03-25T22:13:15-0700,2019-03-25T22:58:36-0700",2950,0,,Charming Ballard Bungalow,"2019-03-25T22:13:15-0700,2019-03-25T22:13:15-0700,2019-03-25T22:58:36-0700",
