,Unnamed: 0,Unnamed: 0.1,p_GEO.id2,p_GEO.display-label,p_HC01_VC03,county_fips,SNAPSPTH16,FMRKTPTH16,PCT_FMRKT_SNAP16,PCT_FMRKT_WIC16,PCT_FMRKT_WICCASH16,PCT_FMRKT_SFMNP16,QUA_FMRKT_SNAP16,QUA_FMRKT_WIC16,QUA_FMRKT_WICCASH16,QUA_FMRKT_SFMNP16
0,0,17550,3651000,"New York city, New York",8560072,[39061],0.852182489,0.01853914,0.46666666669999995,0.33333333330000003,0.2,0.0,0.008651598667284637,0.006179713332715362,0.003707828,0.0
1,1,2723,644000,"Los Angeles city, California",3949776,[34025],0.539003738,0.015978372,0.1,0.3,0.5,0.4,0.0015978372000000002,0.0047935116000000005,0.007989186,0.006391348800000001
2,2,6282,1714000,"Chicago city, Illinois",2722586,[28009],0.655453372,0.0,,,,,,,,
3,3,25202,4835000,"Houston city, Texas",2267336,[42133],0.6407598379999999,0.020281964,0.11111111109999999,0.11111111109999999,0.22222222219999999,0.22222222219999999,0.0022535515553302,0.0022535515553302,0.0045071031106604,0.0045071031106604
4,4,1207,455000,"Phoenix city, Arizona",1574421,[20035],0.75751219,0.055939362,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.027969681
5,5,22709,4260000,"Philadelphia city, Pennsylvania",1569657,[37151],0.7577025340000001,0.020918168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,25912,4865000,"San Antonio city, Texas",1461623,[42129],0.701676898,0.028132719,0.0,0.1,0.0,0.1,0.0,0.0028132719000000003,0.0,0.0028132719000000003
7,7,3119,666000,"San Diego city, California",1390966,[34037],0.41630999700000004,0.021049382000000002,0.33333333330000003,0.33333333330000003,0.0,0.0,0.007016460665965022,0.007016460665965022,0.0,0.0
8,8,24882,4819000,"Dallas city, Texas",1300122,[46041],0.870776733,0.0,,,,,,,,
9,9,3129,668000,"San Jose city, California",1023031,[34037],0.41630999700000004,0.021049382000000002,0.33333333330000003,0.33333333330000003,0.0,0.0,0.007016460665965022,0.007016460665965022,0.0,0.0
10,10,24590,4805000,"Austin city, Texas",916906,[45085],1.285740003,0.027934001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11,4500,1235000,"Jacksonville city, Florida",867313,[48497],0.646445841,0.0,,,,,,,,
12,12,3123,667000,"San Francisco city, California",864263,[35017],0.9075907590000001,0.070721358,0.5,1.0,0.5,1.0,0.035360679,0.070721358,0.035360679,0.070721358
13,13,7697,1836003,"Indianapolis city (balance), Indiana",853431,[24001],0.8664910579999999,0.041591571,0.33333333330000003,0.33333333330000003,0.0,0.33333333330000003,0.013863856998613616,0.013863856998613616,0.0,0.013863856998613616
14,14,19402,3918000,"Columbus city, Ohio",852144,[17159],0.7532956690000001,0.12554927800000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,15,25039,4827000,"Fort Worth city, Texas",835129,[48097],0.5242024479999999,0.0,,,,,,,,
16,16,18152,3712000,"Charlotte city, North Carolina",826060,[42043],0.88811515,0.021921252000000002,0.16666666670000002,0.0,0.0,0.0,0.0036535420007307094,0.0,0.0,0.0
17,17,27804,5363000,"Seattle city, Washington",688245,[72137],,,,,,,,,,
18,18,11858,2622000,"Detroit city, Michigan",679865,[8085],0.548576113,0.024113236,1.0,0.0,0.0,0.0,0.024113236,0.0,0.0,0.0
19,19,3562,820000,"Denver city, Colorado",678467,[31147],0.7444168729999999,0.0,,,,,,,,
20,20,24974,4824000,"El Paso city, Texas",678266,[46115],0.830737279,0.0,,,,,,,,
21,21,4130,1150000,"Washington city, District of Columbia",672391,[55001],0.45675752,0.049828093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,22,11461,2507000,"Boston city, Massachusetts",669158,[18149],1.006852391,0.043461254000000005,0.0,1.0,0.0,0.0,0.0,0.043461254000000005,0.0,0.0
23,23,24340,4748000,"Memphis city, Tennessee",654723,[40069],1.202609663,0.0,,,,,,,,
24,24,24365,4752006,"Nashville-Davidson metropolitan government (balance), Tennessee",654187,[40011],1.062947216,0.0,,,,,,,,
25,25,21391,4159000,"Portland city, Oregon",630331,[1115],0.8378872740000001,0.011361183,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.011361183
26,26,20878,4055000,"Oklahoma City city, Oklahoma",629191,[21051],1.6292657869999998,0.0,,,,,,,,
27,27,15680,3240000,"Las Vegas city, Nevada",621662,[34007],0.855467346,0.023522493,0.16666666670000002,0.33333333330000003,0.0,0.16666666670000002,0.0039204155007840835,0.007840830999215917,0.0,0.0039204155007840835
28,28,10945,2404000,"Baltimore city, Maryland",619796,[18167],0.820740411,0.009265179,0.0,1.0,1.0,1.0,0.0,0.009265179,0.009265179,0.009265179
29,29,10074,2148006,"Louisville/Jefferson County metro government (balance), Kentucky",615478,[5021],0.8042895440000001,0.067024129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,30,28794,5553000,"Milwaukee city, Wisconsin",599086,[53063],0.656551894,0.022040907999999998,0.5454545455,0.5454545455,0.09090909091,0.4545454545,0.012022313455547315,0.012022313455547315,0.002003718909110946,0.010018594544452685
31,31,16402,3502000,"Albuquerque city, New Mexico",556718,[48149],0.490410487,0.039763012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,32,1333,477000,"Tucson city, Arizona",530905,[20105],0.650829808,0.0,,,,,,,,
33,33,2432,627000,"Fresno city, California",519037,[36037],0.742393671,0.06839711400000001,0.0,0.25,0.0,0.25,0.0,0.017099278500000002,0.0,0.017099278500000002
34,34,3101,664000,"Sacramento city, California",489650,[35061],0.753709042,0.026445931000000002,1.0,1.0,0.0,1.0,0.026445931000000002,0.026445931000000002,0.0,0.026445931000000002
35,35,1163,446000,"Mesa city, Arizona",479317,[20099],1.1698623879999999,0.048914107000000005,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.048914107000000005
36,36,14133,2938000,"Kansas City city, Missouri",476974,[13251],1.542770341,0.0,,,,,,,,
37,37,2716,643000,"Long Beach city, California",470489,[35049],0.50734046,0.033635832000000004,0.8,1.0,0.4,1.0,0.026908665600000006,0.033635832000000004,0.013454332800000003,0.033635832000000004
38,38,5078,1304000,"Atlanta city, Georgia",465230,[26125],0.745931708,0.022508581,0.28571428569999996,0.3214285714,0.03571428571,0.28571428569999996,0.006431023142535591,0.007234901035071183,0.0008038778927606775,0.006431023142535591
39,39,15429,3137000,"Omaha city, Nebraska",463081,[40087],0.8358754290000001,0.051703635,0.0,0.5,0.0,0.0,0.0,0.0258518175,0.0,0.0
40,40,27272,5182000,"Virginia Beach city, Virginia",450057,[55113],0.987639237,0.18327326,0.33333333330000003,0.6666666667,0.33333333330000003,0.6666666667,0.06109108666055756,0.12218217333944244,0.06109108666055756,0.12218217333944244
41,41,3539,816000,"Colorado Springs city, Colorado",450000,[31081],0.435445243,0.0,,,,,,,,
42,42,18558,3755000,"Raleigh city, North Carolina",449477,[42037],0.8443741840000001,0.030111412,0.0,0.5,0.0,0.5,0.0,0.015055706,0.0,0.015055706
43,43,4635,1245000,"Miami city, Florida",443007,[51051],1.531044005,0.066809193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,44,2903,653000,"Oakland city, California",417442,[34041],0.49085355399999997,0.037517469,0.25,0.25,0.0,0.0,0.00937936725,0.00937936725,0.0,0.0
45,45,12925,2743000,"Minneapolis city, Minnesota",411452,[12101],0.696276895,0.007806889,0.0,0.25,0.25,0.25,0.0,0.00195172225,0.00195172225,0.00195172225
46,46,21055,4075000,"Tulsa city, Oklahoma",401352,[21037],0.7302093390000001,0.065068159,0.0,0.5,0.0,0.5,0.0,0.0325340795,0.0,0.0325340795
47,47,9760,2079000,"Wichita city, Kansas",389054,[6073],0.49795308,0.014166231000000001,0.3191489362,0.40425531909999995,0.2765957447,0.2978723404,0.004521137553613463,0.005726774233349312,0.003918319213037226,0.0042197283826170325
48,48,19388,3916000,"Cleveland city, Ohio",388812,[18047],0.898818695,0.044023772999999995,1.0,1.0,1.0,1.0,0.044023772999999995,0.044023772999999995,0.044023772999999995,0.044023772999999995
49,49,24579,4804000,"Arlington city, Texas",388225,[48107],1.668891856,0.0,,,,,,,,
50,50,10631,2255000,"New Orleans city, Louisiana",388182,[42095],0.563469117,0.023156265,0.28571428569999996,0.4285714286,0.14285714289999998,0.5714285713999999,0.006616075713954909,0.009924113572090179,0.003308037858135268,0.013232151427909818
51,51,2003,603526,"Bakersfield city, California",372680,[36055],0.754954683,0.038784209,0.6551724138,0.7586206897,0.1724137931,0.3448275862,0.025410343827853683,0.029422503381048945,0.0066869325860731575,0.013373865172146315
52,52,4921,1271000,"Tampa city, Florida",368087,[49045],0.437020242,0.015424243999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,53,3474,804000,"Aurora city, Colorado",357323,[31051],0.520652551,0.0,,,,,,,,
54,54,5798,1571550,"Urban Honolulu CDP, Hawaii",350788,[51171],0.941903108,0.069484655,0.6666666667,0.0,0.0,0.0,0.04632310333564949,0.0,0.0,0.0
55,55,1965,602000,"Anaheim city, California",349007,[36045],0.8903040190000001,0.140343491,0.1875,0.1875,0.1875,0.125,0.026314404562499998,0.026314404562499998,0.026314404562499998,0.017542936375
56,56,3147,669000,"Santa Ana city, California",334493,[35015],0.799766289,0.017354783999999998,1.0,1.0,0.0,1.0,0.017354783999999998,0.017354783999999998,0.0,0.017354783999999998
57,57,24842,4817000,"Corpus Christi city, Texas",322726,[48071],0.586898586,0.0,,,,,,,,
58,58,3072,662000,"Riverside city, California",321570,[35057],0.7243061909999999,0.065350935,0.0,1.0,0.0,1.0,0.0,0.065350935,0.0,0.065350935
59,59,10066,2146027,"Lexington-Fayette urban county, Kentucky",315109,[4015],0.7373158129999999,0.004872131,1.0,0.0,1.0,0.0,0.004872131,0.0,0.004872131,0.0
60,60,14488,2965000,"St. Louis city, Missouri",314867,[16055],0.611319565,0.038882516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,61,22720,4261000,"Pittsburgh city, Pennsylvania",305012,[36119],0.542990109,0.03386206,0.2727272727,0.4848484848,0.30303030300000006,0.4848484848,0.009235107271803763,0.016417968483206688,0.010261230302004182,0.016417968483206688
62,62,3247,675000,"Stockton city, California",304358,[35045],0.796554251,0.026069047999999997,0.6666666667,1.0,0.0,1.0,0.0173793653342023,0.026069047999999997,0.0,0.026069047999999997
63,63,13110,2758000,"St. Paul city, Minnesota",300820,[12069],0.782159994,0.011926201,0.25,0.0,0.0,0.0,0.00298155025,0.0,0.0,0.0
64,64,19379,3915000,"Cincinnati city, Ohio",298957,[17119],0.833461896,0.011288423,0.6666666667,0.6666666667,0.33333333330000003,0.6666666667,0.007525615333709614,0.007525615333709614,0.0037628076662903865,0.007525615333709614
65,65,598,203000,"Anchorage municipality, Alaska",298225,[30063],0.58268033,0.051666236,0.33333333330000003,0.5,0.33333333330000003,0.5,0.01722207866494446,0.025833118,0.01722207866494446,0.025833118
66,66,15667,3231900,"Henderson city, Nevada",284817,[34015],0.6222989999999999,0.003420792,0.0,1.0,1.0,1.0,0.0,0.003420792,0.003420792,0.003420792
67,67,18302,3728000,"Greensboro city, North Carolina",284816,[42011],0.8274832940000001,0.012053653000000001,0.2,0.0,0.0,0.2,0.0024107306000000005,0.0,0.0,0.0024107306000000005
68,68,16170,3451000,"Newark city, New Jersey",282803,[48321],1.075644715,0.0,,,,,,,,
69,69,25745,4858016,"Plano city, Texas",281566,[47065],1.102762357,0.019567393,0.7142857143000001,0.0,0.0,0.0,0.013976709285993821,0.0,0.0,0.0
70,70,20247,3977000,"Toledo city, Ohio",279455,[18093],0.768926578,0.021969331,0.0,1.0,0.0,1.0,0.0,0.021969331,0.0,0.021969331
71,71,15342,3128000,"Lincoln city, Nebraska",277315,[40147],0.734348302,0.019198648000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,72,4722,1253000,"Orlando city, Florida",269414,[51087],0.797343142,0.009188333,0.6666666667,0.0,0.0,0.0,0.006125555333639611,0.0,0.0,0.0
73,73,16078,3436000,"Jersey City city, New Jersey",265932,[48337],0.618110642,0.05150922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,74,2187,613392,"Chula Vista city, California",264101,[36051],0.7755315890000001,0.10893754800000001,0.14285714289999998,0.14285714289999998,0.0,0.28571428569999996,0.015562506861811608,0.015562506861811608,0.0,0.031125013712729462
75,75,7616,1825000,"Fort Wayne city, Indiana",262450,[24033],0.519336879,0.023126505,0.38095238099999995,0.7619047619,0.4285714286,0.7142857143000001,0.008810097143958404,0.017620194285604157,0.009911359286375043,0.016518932143187524
76,76,16959,3611000,"Buffalo city, New York",259574,[39113],0.7793102540000001,0.022588702999999998,0.25,0.16666666670000002,0.08333333332999998,0.0,0.0056471757499999995,0.0037647838340862903,0.0018823919165913705,0.0
77,77,18210,3719000,"Durham city, North Carolina",257232,[42015],0.962646042,0.0,,,,,,,,
78,78,2565,636770,"Irvine city, California",256877,[36059],0.441486106,0.017627616999999998,0.5,0.5416666667,0.25,0.5416666667,0.008813808499999999,0.009548292542254252,0.0044069042499999996,0.009548292542254252
79,79,4847,1263000,"St. Petersburg city, Florida",256031,[51001],1.406299005,0.09105533099999999,0.33333333330000003,0.0,0.0,0.33333333330000003,0.03035177699696482,0.0,0.0,0.03035177699696482
80,80,25365,4841464,"Laredo city, Texas",255305,[47145],0.962981175,0.0,,,,,,,,
81,81,28755,5548000,"Madison city, Wisconsin",248856,[53059],0.724008109,0.08688097300000001,1.0,1.0,1.0,1.0,0.08688097300000001,0.08688097300000001,0.08688097300000001,0.08688097300000001
82,82,25467,4845000,"Lubbock city, Texas",247323,[48083],1.3460015840000001,0.0,,,,,,,,
83,83,27113,5157000,"Norfolk city, Virginia",245752,[55101],0.7866147379999999,0.030747156,0.16666666670000002,0.33333333330000003,0.0,0.16666666670000002,0.005124526001024906,0.010249051998975096,0.0,0.005124526001024906
84,84,1002,412000,"Chandler city, Arizona",245160,[20063],0.7724990340000001,0.0,,,,,,,,
85,85,1087,427820,"Glendale city, Arizona",241543,[20057],0.630439689,0.029436873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,86,18759,3775000,"Winston-Salem city, North Carolina",240193,[42015],0.962646042,0.0,,,,,,,,
87,87,15712,3260600,"Reno city, Nevada",239732,[34003],0.392553132,0.012777498,0.16666666670000002,0.25,0.5,0.5,0.0021295830004259167,0.0031943745,0.006388749,0.006388749
88,88,1267,465000,"Scottsdale city, Arizona",239283,[20143],0.6756756759999999,0.0,,,,,,,,
89,89,4448,1230000,"Hialeah city, Florida",237523,[49021],0.402173405,0.040050464,0.5,0.0,0.0,0.0,0.020025232,0.0,0.0,0.0
90,90,25071,4829000,"Garland city, Texas",235965,[47017],1.266671413,0.0,,,,,,,,
91,91,25239,4837000,"Irving city, Texas",235648,[48113],0.630715893,0.004271871,0.3636363636,0.0,0.0,0.0,0.0015534076362082956,0.0,0.0,0.0
92,92,26823,5116000,"Chesapeake city, Virginia",235410,[55109],0.549061484,0.045439571,0.25,0.25,0.25,0.25,0.01135989275,0.01135989275,0.01135989275,0.01135989275
93,93,15700,3251800,"North Las Vegas city, Nevada",234389,[34005],0.563674647,0.017806109,0.0,0.125,0.0,0.0,0.0,0.002225763625,0.0,0.0
94,94,1085,427400,"Gilbert town, Arizona",232176,[20101],1.8337408309999998,0.0,,,,,,,,
95,95,15707,3254600,"Paradise CDP, Nevada",231858,[34015],0.6222989999999999,0.003420792,0.0,1.0,1.0,1.0,0.0,0.003420792,0.003420792,0.003420792
96,96,2428,626000,"Fremont city, California",230964,[35043],0.45179839200000005,0.049287097,0.28571428569999996,0.5714285713999999,0.14285714289999998,0.5714285713999999,0.014082027713581611,0.028164055427163222,0.0070410138592551606,0.028164055427163222
97,97,26731,5103000,"Arlington CDP, Virginia",229534,[55105],0.7574351359999999,0.049498824000000004,0.25,0.25,0.0,0.25,0.012374706000000001,0.012374706000000001,0.0,0.012374706000000001
98,98,10344,2205000,"Baton Rouge city, Louisiana",227549,[42071],0.621479418,0.024141133,0.2307692308,0.07692307692000001,0.07692307692000001,0.2307692308,0.005571030693050496,0.0018570102306949506,0.0018570102306949506,0.005571030693050496
99,99,27167,5167000,"Richmond city, Virginia",220892,[55117],0.566736263,0.025990452999999997,0.6666666667,1.0,0.33333333330000003,1.0,0.017326968667533013,0.025990452999999997,0.008663484332466985,0.025990452999999997
100,100,5846,1608830,"Boise City city, Idaho",220859,[],,,,,,,,,,
101,101,3113,665000,"San Bernardino city, California",215252,[36055],0.754954683,0.038784209,0.6551724138,0.7586206897,0.1724137931,0.3448275862,0.025410343827853683,0.029422503381048945,0.0066869325860731575,0.013373865172146315
102,102,8342,1921000,"Des Moines city, Iowa",214778,[21233],1.420596776,0.0,,,,,,,,
103,103,27832,5367000,"Spokane city, Washington",212982,[56007],0.768344218,0.064028685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,104,48,107000,"Birmingham city, Alabama",212265,[29167],0.921634436,0.0319642,1.0,0.0,0.0,0.0,0.0319642,0.0,0.0,0.0
105,105,18255,3722920,"Fayetteville city, North Carolina",210324,[42021],0.878905284,0.029688567000000003,0.0,0.75,0.25,0.75,0.0,0.022266425250000003,0.007422141750000001,0.022266425250000003
106,106,2814,648354,"Modesto city, California",210166,[34025],0.539003738,0.015978372,0.1,0.3,0.5,0.4,0.0015978372000000002,0.0047935116000000005,0.007989186,0.006391348800000001
107,107,3150,669088,"Santa Clarita city, California",209489,[35017],0.9075907590000001,0.070721358,0.5,1.0,0.5,1.0,0.035360679,0.070721358,0.035360679,0.070721358
108,108,17734,3663000,"Rochester city, New York",209463,[39063],0.631546113,0.039540278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,109,27855,5370000,"Tacoma city, Washington",207280,[56037],0.566059097,0.045284727999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,110,2405,624680,"Fontana city, California",207086,[35059],1.195314368,0.23906287399999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,111,2932,654652,"Oxnard city, California",206732,[34035],0.400747863,0.017977474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,112,2839,649270,"Moreno Valley city, California",203691,[35013],0.615448297,0.023341907999999998,0.4,0.6,0.2,0.6,0.009336763199999999,0.0140051448,0.004668381599999999,0.0140051448
113,113,18025,3684000,"Yonkers city, New York",200999,[39017],0.690660783,0.013243735,0.4,0.0,0.2,0.0,0.005297494,0.0,0.002648747,0.0
114,114,6110,1703012,"Aurora city, Illinois",200946,[26163],1.308664587,0.016005798999999998,0.7142857143000001,0.5357142857,0.07142857142999999,0.5357142857,0.011432713571657226,0.008574535178342774,0.0011432713571657223,0.008574535178342774
115,115,354,151000,"Montgomery city, Alabama",200761,[29207],0.777342166,0.033797485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,116,2543,636000,"Huntington Beach city, California",200415,[34023],0.51389385,0.008362473,0.28571428569999996,0.4285714286,0.14285714289999998,0.4285714286,0.002389277999880536,0.003583917000238928,0.0011946390003583916,0.003583917000238928
117,117,2454,630000,"Glendale city, California",199750,[35011],1.905558654,0.0,,,,,,,,
118,118,5177,1319000,"Columbus city, Georgia",198647,[25017],0.522977899,0.037741214,0.6333333333,0.6833333333,0.18333333329999998,0.65,0.023902768865408628,0.025789829565408626,0.006919222565408626,0.024531789100000003
119,119,19178,3901000,"Akron city, Ohio",198252,[18089],0.811642647,0.016466123,0.125,0.25,0.0,0.125,0.002058265375,0.00411653075,0.0,0.002058265375
120,120,24554,4803000,"Amarillo city, Texas",197823,[47065],1.102762357,0.019567393,0.7142857143000001,0.0,0.0,0.0,0.013976709285993821,0.0,0.0,0.0
121,121,1681,541000,"Little Rock city, Arkansas",197780,[29031],0.5734162939999999,0.06336091599999999,0.2,0.0,0.0,0.0,0.0126721832,0.0,0.0,0.0
122,122,5081,1304204,"Augusta-Richmond County consolidated government (balance), Georgia",196899,[26083],0.45475216,0.0,,,,,,,,
123,123,10717,2270000,"Shreveport city, Louisiana",196217,[42097],0.831163124,0.021612042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,124,15727,3268585,"Spring Valley CDP, Nevada",195646,[34005],0.563674647,0.017806109,0.0,0.125,0.0,0.0,0.0,0.002225763625,0.0,0.0
125,125,11945,2634000,"Grand Rapids city, Michigan",195355,[10005],0.82935681,0.072644392,0.1875,0.0625,0.0,0.0,0.0136208235,0.0045402745,0.0,0.0
