GEO.id2,GEO.display-label
100100,"Abanda CDP, Alabama"
100124,"Abbeville city, Alabama"
100460,"Adamsville city, Alabama"
100484,"Addison town, Alabama"
100676,"Akron town, Alabama"
100820,"Alabaster city, Alabama"
100988,"Albertville city, Alabama"
101132,"Alexander City city, Alabama"
101180,"Alexandria CDP, Alabama"
101228,"Aliceville city, Alabama"
101396,"Allgood town, Alabama"
101660,"Altoona town, Alabama"
101708,"Andalusia city, Alabama"
101756,"Anderson town, Alabama"
101852,"Anniston city, Alabama"
102116,"Arab city, Alabama"
102260,"Ardmore town, Alabama"
102320,"Argo town, Alabama"
102428,"Ariton town, Alabama"
102500,"Arley town, Alabama"
102836,"Ashford town, Alabama"
102860,"Ashland town, Alabama"
102908,"Ashville city, Alabama"
102956,"Athens city, Alabama"
103004,"Atmore city, Alabama"
103028,"Attalla city, Alabama"
103076,"Auburn city, Alabama"
103220,"Autaugaville town, Alabama"
103364,"Avon town, Alabama"
103508,"Axis CDP, Alabama"
103556,"Babbie town, Alabama"
103676,"Baileyton town, Alabama"
103724,"Bakerhill town, Alabama"
103820,"Ballplay CDP, Alabama"
103940,"Banks town, Alabama"
104660,"Bay Minette city, Alabama"
104684,"Bayou La Batre city, Alabama"
104852,"Bear Creek town, Alabama"
104900,"Beatrice town, Alabama"
104948,"Beaverton town, Alabama"
105140,"Belgreen CDP, Alabama"
105164,"Belk town, Alabama"
105188,"Bellamy CDP, Alabama"
105212,"Belle Fontaine CDP, Alabama"
105692,"Benton town, Alabama"
105932,"Berry town, Alabama"
105980,"Bessemer city, Alabama"
106460,"Billingsley town, Alabama"
107000,"Birmingham city, Alabama"
107120,"Black town, Alabama"
107456,"Blountsville town, Alabama"
107588,"Blue Ridge CDP, Alabama"
107672,"Blue Springs town, Alabama"
107912,"Boaz city, Alabama"
108104,"Boligee town, Alabama"
108248,"Bon Air town, Alabama"
108272,"Bon Secour CDP, Alabama"
108680,"Boykin CDP, Alabama"
109016,"Brantley town, Alabama"
109064,"Brantleyville CDP, Alabama"
109136,"Brent city, Alabama"
109208,"Brewton city, Alabama"
109328,"Bridgeport city, Alabama"
109400,"Brighton city, Alabama"
109424,"Brilliant town, Alabama"
109457,"Bristow Cove CDP, Alabama"
109500,"Brook Highland CDP, Alabama"
109736,"Brookside town, Alabama"
109808,"Brookwood town, Alabama"
109880,"Broomtown CDP, Alabama"
110240,"Brundidge city, Alabama"
110456,"Bucks CDP, Alabama"
111032,"Butler town, Alabama"
111416,"Calera city, Alabama"
111488,"Calvert CDP, Alabama"
111512,"Camden city, Alabama"
111680,"Camp Hill town, Alabama"
112016,"Carbon Hill city, Alabama"
112040,"Cardiff town, Alabama"
