,Unnamed: 0,p_GEO.id2,p_GEO.display-label,p_HC01_VC03,county_fips
0,17550,3651000,"New York city, New York",8560072,[39061]
1,2723,644000,"Los Angeles city, California",3949776,[34025]
2,6282,1714000,"Chicago city, Illinois",2722586,[28009]
3,25202,4835000,"Houston city, Texas",2267336,[42133]
4,1207,455000,"Phoenix city, Arizona",1574421,[20035]
5,22709,4260000,"Philadelphia city, Pennsylvania",1569657,[37151]
6,25912,4865000,"San Antonio city, Texas",1461623,[42129]
7,3119,666000,"San Diego city, California",1390966,[34037]
8,24882,4819000,"Dallas city, Texas",1300122,[46041]
9,3129,668000,"San Jose city, California",1023031,[34037]
10,24590,4805000,"Austin city, Texas",916906,[45085]
11,4500,1235000,"Jacksonville city, Florida",867313,[48497]
12,3123,667000,"San Francisco city, California",864263,[35017]
13,7697,1836003,"Indianapolis city (balance), Indiana",853431,[24001]
14,19402,3918000,"Columbus city, Ohio",852144,[17159]
15,25039,4827000,"Fort Worth city, Texas",835129,[48097]
16,18152,3712000,"Charlotte city, North Carolina",826060,[42043]
17,27804,5363000,"Seattle city, Washington",688245,[72137]
18,11858,2622000,"Detroit city, Michigan",679865,[8085]
19,3562,820000,"Denver city, Colorado",678467,[31147]
20,24974,4824000,"El Paso city, Texas",678266,[46115]
21,4130,1150000,"Washington city, District of Columbia",672391,[55001]
22,11461,2507000,"Boston city, Massachusetts",669158,[18149]
23,24340,4748000,"Memphis city, Tennessee",654723,[40069]
24,24365,4752006,"Nashville-Davidson metropolitan government (balance), Tennessee",654187,[40011]
25,21391,4159000,"Portland city, Oregon",630331,[1115]
26,20878,4055000,"Oklahoma City city, Oklahoma",629191,[21051]
27,15680,3240000,"Las Vegas city, Nevada",621662,[34007]
28,10945,2404000,"Baltimore city, Maryland",619796,[18167]
29,10074,2148006,"Louisville/Jefferson County metro government (balance), Kentucky",615478,[5021]
30,28794,5553000,"Milwaukee city, Wisconsin",599086,[53063]
31,16402,3502000,"Albuquerque city, New Mexico",556718,[48149]
32,1333,477000,"Tucson city, Arizona",530905,[20105]
33,2432,627000,"Fresno city, California",519037,[36037]
34,3101,664000,"Sacramento city, California",489650,[35061]
35,1163,446000,"Mesa city, Arizona",479317,[20099]
36,14133,2938000,"Kansas City city, Missouri",476974,[13251]
37,2716,643000,"Long Beach city, California",470489,[35049]
38,5078,1304000,"Atlanta city, Georgia",465230,[26125]
39,15429,3137000,"Omaha city, Nebraska",463081,[40087]
40,27272,5182000,"Virginia Beach city, Virginia",450057,[55113]
41,3539,816000,"Colorado Springs city, Colorado",450000,[31081]
42,18558,3755000,"Raleigh city, North Carolina",449477,[42037]
43,4635,1245000,"Miami city, Florida",443007,[51051]
44,2903,653000,"Oakland city, California",417442,[34041]
45,12925,2743000,"Minneapolis city, Minnesota",411452,[12101]
46,21055,4075000,"Tulsa city, Oklahoma",401352,[21037]
47,9760,2079000,"Wichita city, Kansas",389054,[6073]
48,19388,3916000,"Cleveland city, Ohio",388812,[18047]
49,24579,4804000,"Arlington city, Texas",388225,[48107]
50,10631,2255000,"New Orleans city, Louisiana",388182,[42095]
51,2003,603526,"Bakersfield city, California",372680,[36055]
52,4921,1271000,"Tampa city, Florida",368087,[49045]
53,3474,804000,"Aurora city, Colorado",357323,[31051]
54,5798,1571550,"Urban Honolulu CDP, Hawaii",350788,[51171]
55,1965,602000,"Anaheim city, California",349007,[36045]
56,3147,669000,"Santa Ana city, California",334493,[35015]
57,24842,4817000,"Corpus Christi city, Texas",322726,[48071]
58,3072,662000,"Riverside city, California",321570,[35057]
59,10066,2146027,"Lexington-Fayette urban county, Kentucky",315109,[4015]
60,14488,2965000,"St. Louis city, Missouri",314867,[16055]
61,22720,4261000,"Pittsburgh city, Pennsylvania",305012,[36119]
62,3247,675000,"Stockton city, California",304358,[35045]
63,13110,2758000,"St. Paul city, Minnesota",300820,[12069]
64,19379,3915000,"Cincinnati city, Ohio",298957,[17119]
65,598,203000,"Anchorage municipality, Alaska",298225,[30063]
66,15667,3231900,"Henderson city, Nevada",284817,[34015]
67,18302,3728000,"Greensboro city, North Carolina",284816,[42011]
68,16170,3451000,"Newark city, New Jersey",282803,[48321]
69,25745,4858016,"Plano city, Texas",281566,[47065]
70,20247,3977000,"Toledo city, Ohio",279455,[18093]
71,15342,3128000,"Lincoln city, Nebraska",277315,[40147]
72,4722,1253000,"Orlando city, Florida",269414,[51087]
73,16078,3436000,"Jersey City city, New Jersey",265932,[48337]
74,2187,613392,"Chula Vista city, California",264101,[36051]
75,7616,1825000,"Fort Wayne city, Indiana",262450,[24033]
76,16959,3611000,"Buffalo city, New York",259574,[39113]
77,18210,3719000,"Durham city, North Carolina",257232,[42015]
78,2565,636770,"Irvine city, California",256877,[36059]
79,4847,1263000,"St. Petersburg city, Florida",256031,[51001]
80,25365,4841464,"Laredo city, Texas",255305,[47145]
81,28755,5548000,"Madison city, Wisconsin",248856,[53059]
