,p_GEO.id2,p_GEO.display-label,p_HC01_VC03
17550,3651000,"New York city, New York",8560072
2723,644000,"Los Angeles city, California",3949776
6282,1714000,"Chicago city, Illinois",2722586
25202,4835000,"Houston city, Texas",2267336
1207,455000,"Phoenix city, Arizona",1574421
22709,4260000,"Philadelphia city, Pennsylvania",1569657
25912,4865000,"San Antonio city, Texas",1461623
3119,666000,"San Diego city, California",1390966
24882,4819000,"Dallas city, Texas",1300122
3129,668000,"San Jose city, California",1023031
24590,4805000,"Austin city, Texas",916906
4500,1235000,"Jacksonville city, Florida",867313
3123,667000,"San Francisco city, California",864263
7697,1836003,"Indianapolis city (balance), Indiana",853431
19402,3918000,"Columbus city, Ohio",852144
25039,4827000,"Fort Worth city, Texas",835129
18152,3712000,"Charlotte city, North Carolina",826060
27804,5363000,"Seattle city, Washington",688245
11858,2622000,"Detroit city, Michigan",679865
3562,820000,"Denver city, Colorado",678467
24974,4824000,"El Paso city, Texas",678266
4130,1150000,"Washington city, District of Columbia",672391
11461,2507000,"Boston city, Massachusetts",669158
24340,4748000,"Memphis city, Tennessee",654723
24365,4752006,"Nashville-Davidson metropolitan government (balance), Tennessee",654187
21391,4159000,"Portland city, Oregon",630331
20878,4055000,"Oklahoma City city, Oklahoma",629191
15680,3240000,"Las Vegas city, Nevada",621662
10945,2404000,"Baltimore city, Maryland",619796
10074,2148006,"Louisville/Jefferson County metro government (balance), Kentucky",615478
28794,5553000,"Milwaukee city, Wisconsin",599086
16402,3502000,"Albuquerque city, New Mexico",556718
1333,477000,"Tucson city, Arizona",530905
2432,627000,"Fresno city, California",519037
3101,664000,"Sacramento city, California",489650
1163,446000,"Mesa city, Arizona",479317
14133,2938000,"Kansas City city, Missouri",476974
2716,643000,"Long Beach city, California",470489
5078,1304000,"Atlanta city, Georgia",465230
15429,3137000,"Omaha city, Nebraska",463081
27272,5182000,"Virginia Beach city, Virginia",450057
3539,816000,"Colorado Springs city, Colorado",450000
18558,3755000,"Raleigh city, North Carolina",449477
4635,1245000,"Miami city, Florida",443007
2903,653000,"Oakland city, California",417442
12925,2743000,"Minneapolis city, Minnesota",411452
21055,4075000,"Tulsa city, Oklahoma",401352
9760,2079000,"Wichita city, Kansas",389054
19388,3916000,"Cleveland city, Ohio",388812
24579,4804000,"Arlington city, Texas",388225
10631,2255000,"New Orleans city, Louisiana",388182
2003,603526,"Bakersfield city, California",372680
4921,1271000,"Tampa city, Florida",368087
3474,804000,"Aurora city, Colorado",357323
5798,1571550,"Urban Honolulu CDP, Hawaii",350788
1965,602000,"Anaheim city, California",349007
3147,669000,"Santa Ana city, California",334493
24842,4817000,"Corpus Christi city, Texas",322726
3072,662000,"Riverside city, California",321570
10066,2146027,"Lexington-Fayette urban county, Kentucky",315109
14488,2965000,"St. Louis city, Missouri",314867
22720,4261000,"Pittsburgh city, Pennsylvania",305012
3247,675000,"Stockton city, California",304358
13110,2758000,"St. Paul city, Minnesota",300820
19379,3915000,"Cincinnati city, Ohio",298957
598,203000,"Anchorage municipality, Alaska",298225
15667,3231900,"Henderson city, Nevada",284817
18302,3728000,"Greensboro city, North Carolina",284816
16170,3451000,"Newark city, New Jersey",282803
25745,4858016,"Plano city, Texas",281566
20247,3977000,"Toledo city, Ohio",279455
15342,3128000,"Lincoln city, Nebraska",277315
4722,1253000,"Orlando city, Florida",269414
16078,3436000,"Jersey City city, New Jersey",265932
2187,613392,"Chula Vista city, California",264101
7616,1825000,"Fort Wayne city, Indiana",262450
16959,3611000,"Buffalo city, New York",259574
18210,3719000,"Durham city, North Carolina",257232
2565,636770,"Irvine city, California",256877
4847,1263000,"St. Petersburg city, Florida",256031
25365,4841464,"Laredo city, Texas",255305
28755,5548000,"Madison city, Wisconsin",248856
25467,4845000,"Lubbock city, Texas",247323
27113,5157000,"Norfolk city, Virginia",245752
1002,412000,"Chandler city, Arizona",245160
1087,427820,"Glendale city, Arizona",241543
18759,3775000,"Winston-Salem city, North Carolina",240193
15712,3260600,"Reno city, Nevada",239732
1267,465000,"Scottsdale city, Arizona",239283
4448,1230000,"Hialeah city, Florida",237523
25071,4829000,"Garland city, Texas",235965
25239,4837000,"Irving city, Texas",235648
26823,5116000,"Chesapeake city, Virginia",235410
15700,3251800,"North Las Vegas city, Nevada",234389
1085,427400,"Gilbert town, Arizona",232176
15707,3254600,"Paradise CDP, Nevada",231858
2428,626000,"Fremont city, California",230964
26731,5103000,"Arlington CDP, Virginia",229534
10344,2205000,"Baton Rouge city, Louisiana",227549
27167,5167000,"Richmond city, Virginia",220892
5846,1608830,"Boise City city, Idaho",220859
3113,665000,"San Bernardino city, California",215252
8342,1921000,"Des Moines city, Iowa",214778
27832,5367000,"Spokane city, Washington",212982
48,107000,"Birmingham city, Alabama",212265
18255,3722920,"Fayetteville city, North Carolina",210324
2814,648354,"Modesto city, California",210166
3150,669088,"Santa Clarita city, California",209489
17734,3663000,"Rochester city, New York",209463
27855,5370000,"Tacoma city, Washington",207280
2405,624680,"Fontana city, California",207086
2932,654652,"Oxnard city, California",206732
2839,649270,"Moreno Valley city, California",203691
18025,3684000,"Yonkers city, New York",200999
6110,1703012,"Aurora city, Illinois",200946
354,151000,"Montgomery city, Alabama",200761
2543,636000,"Huntington Beach city, California",200415
2454,630000,"Glendale city, California",199750
5177,1319000,"Columbus city, Georgia",198647
19178,3901000,"Akron city, Ohio",198252
24554,4803000,"Amarillo city, Texas",197823
1681,541000,"Little Rock city, Arkansas",197780
5081,1304204,"Augusta-Richmond County consolidated government (balance), Georgia",196899
10717,2270000,"Shreveport city, Louisiana",196217
15727,3268585,"Spring Valley CDP, Nevada",195646
11945,2634000,"Grand Rapids city, Michigan",195355
26519,4967000,"Salt Lake City city, Utah",194188
15731,3271400,"Sunrise Manor CDP, Nevada",193854
351,150000,"Mobile city, Alabama",192085
271,137000,"Huntsville city, Alabama",190501
25103,4830464,"Grand Prairie city, Texas",188664
4918,1270600,"Tallahassee city, Florida",188463
9585,2053775,"Overland Park city, Kansas",186147
11685,2582000,"Worcester city, Massachusetts",184743
24298,4740000,"Knoxville city, Tennessee",184465
24703,4810768,"Brownsville city, Texas",182083
27108,5156000,"Newport News city, Virginia",180775
23293,4459000,"Providence city, Rhode Island",179509
4802,1258715,"Port St. Lucie city, Florida",178778
1314,473000,"Tempe city, Arizona",178339
4371,1224000,"Fort Lauderdale city, Florida",177175
24157,4714000,"Chattanooga city, Tennessee",176291
2445,629000,"Garden Grove city, California",174812
2912,653322,"Oceanside city, California",174811
3034,659451,"Rancho Cucamonga city, California",174573
3158,670098,"Santa Rosa city, California",174244
4235,1210275,"Cape Coral city, Florida",173679
27887,5374060,"Vancouver city, Washington",171393
2920,653896,"Ontario city, California",171041
24017,4659020,"Sioux Falls city, South Dakota",170401
13437,2836000,"Jackson city, Mississippi",170393
4763,1255775,"Pembroke Pines city, Florida",166530
2354,622020,"Elk Grove city, California",166228
14534,2970000,"Springfield city, Missouri",165785
25481,4845744,"McKinney city, Texas",164760
21420,4164900,"Salem city, Oregon",163654
2230,616350,"Corona city, California",163585
21231,4123850,"Eugene city, Oregon",163135
1205,454050,"Peoria city, Arizona",161383
2652,640130,"Lancaster city, California",160113
18139,3710740,"Cary town, North Carolina",159715
3603,827425,"Fort Collins city, Colorado",159150
2940,655156,"Palmdale city, California",157358
2509,633000,"Hayward city, California",156917
3104,664224,"Salinas city, California",156811
15648,3223770,"Enterprise CDP, Nevada",155773
25051,4827684,"Frisco city, Texas",155363
26720,5101000,"Alexandria city, Virginia",154710
11642,2567000,"Springfield city, Massachusetts",154613
25706,4856000,"Pasadena city, Texas",153909
5399,1349008,"Macon-Bibb County, Georgia",153621
3008,658072,"Pomona city, California",152366
3263,677000,"Sunnyvale city, California",151565
3694,843000,"Lakewood city, Colorado",151411
9416,2036000,"Kansas City city, Kansas",151042
2373,622804,"Escondido city, California",150783
4465,1232000,"Hollywood city, Florida",149750
7112,1765000,"Rockford city, Illinois",148640
6665,1738570,"Joliet city, Illinois",148172
16210,3457000,"Paterson city, New Jersey",147890
24163,4715160,"Clarksville city, Tennessee",147771
3917,908000,"Bridgeport city, Connecticut",147586
3309,680000,"Torrance city, California",147190
6904,1751622,"Naperville city, Illinois",146431
5551,1369000,"Savannah city, Georgia",145094
10603,2250115,"Metairie CDP, Louisiana",144822
17875,3673000,"Syracuse city, New York",144405
25530,4847892,"Mesquite city, Texas",144118
2957,656000,"Pasadena city, California",141231
19441,3921000,"Dayton city, Ohio",140939
25284,4839148,"Killeen city, Texas",140513
2922,653980,"Orange city, California",140289
2437,628000,"Fullerton city, California",139976
25476,4845384,"McAllen city, Texas",139838
27348,5305210,"Bellevue city, Washington",139014
4650,1245975,"Miramar city, Florida",136415
26959,5135000,"Hampton city, Virginia",136255
26584,4983470,"West Valley City city, Utah",135546
12342,2684000,"Warren city, Michigan",135147
9570,2052575,"Olathe city, Kansas",134368
3865,877290,"Thornton city, Colorado",132310
23373,4516000,"Columbia city, South Carolina",132236
12295,2676460,"Sterling Heights city, Michigan",131996
26174,4876000,"Waco city, Texas",131996
25534,4848072,"Midland city, Texas",131286
24759,4813024,"Carrollton city, Texas",131240
23358,4513330,"Charleston city, South Carolina",131204
24902,4819972,"Denton city, Texas",131097
3978,952000,"New Haven city, Connecticut",130884
3090,662938,"Roseville city, California",130705
8245,1912000,"Cedar Rapids city, Iowa",130330
4278,1214400,"Coral Springs city, Florida",130110
3363,682954,"Visalia city, California",130047
1305,471510,"Surprise city, Arizona",129534
4391,1225175,"Gainesville city, Florida",129394
15982,3421000,"Elizabeth city, New Jersey",129363
3295,678582,"Thousand Oaks city, California",128909
4023,973000,"Stamford city, Connecticut",128851
2224,616000,"Concord city, California",128160
9711,2071000,"Topeka city, Kansas",127139
27571,5335415,"Kent city, Washington",126561
3202,672016,"Simi Valley city, California",126546
10553,2240735,"Lafayette city, Louisiana",126476
24364,4751560,"Murfreesboro city, Tennessee",126188
3149,669084,"Santa Clara city, California",124635
3955,937000,"Hartford city, Connecticut",124390
2324,620802,"East Los Angeles CDP, California",123905
24524,4801000,"Abilene city, Texas",122762
5077,1303440,"Athens-Clarke County unified government (balance), Georgia",122292
3356,682590,"Victorville city, California",121721
3341,681666,"Vallejo city, California",120599
2034,606000,"Berkeley city, California",120179
21528,4202000,"Allentown city, Pennsylvania",120128
20862,4052500,"Norman city, Oklahoma",119820
7601,1822000,"Evansville city, Indiana",119806
11706,2603000,"Ann Arbor city, Michigan",119303
13850,2915670,"Columbia city, Missouri",118620
24625,4807000,"Beaumont city, Texas",118424
18890,3825700,"Fargo city, North Dakota",118099
14109,2935000,"Independence city, Missouri",117369
4581,1239925,"Lehigh Acres CDP, Florida",116849
25888,4863500,"Round Rock city, Texas",116369
7224,1772000,"Springfield city, Illinois",116313
26501,4962470,"Provo city, Utah",116199
2357,622230,"El Monte city, California",115958
25658,4853388,"Odessa city, Texas",115930
