geoid,job_count,region,state
100100,33,Abanda, Alabama
100460,764,Adamsville, Alabama
100484,101,Addison, Alabama
100124,71,Abbeville, Alabama
100676,54,Akron, Alabama
100820,622,Alabaster, Alabama
100988,143,Albertville, Alabama
101132,67,Alexander+City, Alabama
101180,153,Alexandria, Alabama
101396,182,Allgood, Alabama
101660,164,Altoona, Alabama
101228,8,Aliceville, Alabama
101708,16,Andalusia, Alabama
101756,127,Anderson, Alabama
101852,114,Anniston, Alabama
102116,180,Arab, Alabama
102260,360,Ardmore, Alabama
102320,581,Argo, Alabama
102428,71,Ariton, Alabama
102500,138,Arley, Alabama
102836,127,Ashford, Alabama
102860,69,Ashland, Alabama
102908,180,Ashville, Alabama
102956,452,Athens, Alabama
103004,23,Atmore, Alabama
103028,149,Attalla, Alabama
103076,164,Auburn, Alabama
103220,145,Autaugaville, Alabama
103508,303,Axis, Alabama
103364,125,Avon, Alabama
103556,21,Babbie, Alabama
103676,174,Baileyton, Alabama
103724,14,Bakerhill, Alabama
103820,111,Ballplay, Alabama
104852,45,Bear+Creek, Alabama
104900,7,Beatrice, Alabama
104660,215,Bay+Minette, Alabama
104684,282,Bayou+La+Batre, Alabama
103940,16,Banks, Alabama
104948,42,Beaverton, Alabama
105140,85,Belgreen, Alabama
105164,30,Belk, Alabama
105692,36,Benton, Alabama
105932,79,Berry, Alabama
105188,12,Bellamy, Alabama
105980,729,Bessemer, Alabama
106460,71,Billingsley, Alabama
107000,763,Birmingham, Alabama
107120,113,Black, Alabama
107456,119,Blountsville, Alabama
107588,233,Blue+Ridge, Alabama
107912,154,Boaz, Alabama
107672,18,Blue+Springs, Alabama
108272,190,Bon+Secour, Alabama
108248,136,Bon+Air, Alabama
109016,32,Brantley, Alabama
108104,14,Boligee, Alabama
108680,42,Boykin, Alabama
109064,612,Brantleyville, Alabama
109208,9,Brewton, Alabama
109136,27,Brent, Alabama
109328,186,Bridgeport, Alabama
109424,56,Brilliant, Alabama
109457,159,Bristow+Cove, Alabama
109400,744,Brighton, Alabama
109500,781,Brook+Highland, Alabama
109808,210,Brookwood, Alabama
109736,768,Brookside, Alabama
109880,108,Broomtown, Alabama
110240,29,Brundidge, Alabama
111032,7,Butler, Alabama
110456,233,Bucks, Alabama
111416,371,Calera, Alabama
111488,45,Calvert, Alabama
111512,27,Camden, Alabama
111680,187,Camp+Hill, Alabama
112040,769,Cardiff, Alabama
112070,149,Carlisle-Rockledge, Alabama
112112,10,Carlton, Alabama
112016,100,Carbon+Hill, Alabama
112304,16,Carrollton, Alabama
112160,15,Carolina, Alabama
112496,16,Castleberry, Alabama
112544,5,Catherine, Alabama
112760,104,Cedar+Bluff, Alabama
113648,99,Centre, Alabama
113672,25,Centreville, Alabama
113264,730,Center+Point, Alabama
114008,9,Chatom, Alabama
114464,211,Childersburg, Alabama
114728,78,Choccolocco, Alabama
114968,269,Chunchula, Alabama
114104,766,Chelsea, Alabama
115064,50,Citronelle, Alabama
114152,110,Cherokee, Alabama
114392,355,Chickasaw, Alabama
115136,35,Clanton, Alabama
115472,136,Cleveland, Alabama
115640,28,Clio, Alabama
115256,607,Clay, Alabama
115376,16,Clayton, Alabama
115304,187,Clayhatchee, Alabama
116264,26,Coffeeville, Alabama
116240,71,Coffee+Springs, Alabama
116000,188,Coaling, Alabama
116600,164,Collinsville, Alabama
116312,144,Coker, Alabama
116744,123,Columbia, Alabama
116684,172,Colony, Alabama
116768,392,Columbiana, Alabama
116936,690,Concord, Alabama
117176,233,Coosada, Alabama
117704,157,Cottondale, Alabama
117368,142,Cordova, Alabama
117824,141,Cottonwood, Alabama
117968,422,County+Line, Alabama
118088,127,Cowarts, Alabama
118040,220,Courtland, Alabama
118952,39,Cuba, Alabama
118856,181,Crossville, Alabama
118304,307,Creola, Alabama
118976,100,Cullman, Alabama
119024,15,Cullomburg, Alabama
119216,195,Cusseta, Alabama
119336,143,Dadeville, Alabama
119360,186,Daleville, Alabama
119648,424,Daphne, Alabama
119912,8,Dayton, Alabama
119816,62,Daviston, Alabama
119744,93,Dauphin+Island, Alabama
120008,235,Deatsville, Alabama
120104,416,Decatur, Alabama
120152,4,Deer+Park, Alabama
120272,73,Delta, Alabama
120296,14,Demopolis, Alabama
120392,43,Detroit, Alabama
120955,98,Dodge+City, Alabama
121136,421,Dora, Alabama
121184,146,Dothan, Alabama
121280,73,Double+Springs, Alabama
121328,145,Douglas, Alabama
121448,21,Dozier, Alabama
121952,80,Dutton, Alabama
122216,9,East+Brewton, Alabama
122504,108,East+Point, Alabama
122816,225,Eclectic, Alabama
123176,138,Edwardsville, Alabama
123224,202,Egypt, Alabama
123032,751,Edgewater, Alabama
123296,63,Elba, Alabama
123320,394,Elberta, Alabama
123488,266,Elkmont, Alabama
