GEO.id,GEO.id2,GEO.display-label
Id,Id2,Geography
1600000US0100100,100100,"Abanda CDP, Alabama"
1600000US0100124,100124,"Abbeville city, Alabama"
1600000US0100460,100460,"Adamsville city, Alabama"
1600000US0100484,100484,"Addison town, Alabama"
1600000US0100676,100676,"Akron town, Alabama"
1600000US0100820,100820,"Alabaster city, Alabama"
1600000US0100988,100988,"Albertville city, Alabama"
1600000US0101132,101132,"Alexander City city, Alabama"
1600000US0101180,101180,"Alexandria CDP, Alabama"
1600000US0101228,101228,"Aliceville city, Alabama"
1600000US0101396,101396,"Allgood town, Alabama"
1600000US0101660,101660,"Altoona town, Alabama"
1600000US0101708,101708,"Andalusia city, Alabama"
1600000US0101756,101756,"Anderson town, Alabama"
1600000US0101852,101852,"Anniston city, Alabama"
1600000US0102116,102116,"Arab city, Alabama"
1600000US0102260,102260,"Ardmore town, Alabama"
1600000US0102320,102320,"Argo town, Alabama"
1600000US0102428,102428,"Ariton town, Alabama"
1600000US0102500,102500,"Arley town, Alabama"
1600000US0102836,102836,"Ashford town, Alabama"
1600000US0102860,102860,"Ashland town, Alabama"
1600000US0102908,102908,"Ashville city, Alabama"
1600000US0102956,102956,"Athens city, Alabama"
1600000US0103004,103004,"Atmore city, Alabama"
1600000US0103028,103028,"Attalla city, Alabama"
1600000US0103076,103076,"Auburn city, Alabama"
1600000US0103220,103220,"Autaugaville town, Alabama"
1600000US0103364,103364,"Avon town, Alabama"
1600000US0103508,103508,"Axis CDP, Alabama"
1600000US0103556,103556,"Babbie town, Alabama"
1600000US0103676,103676,"Baileyton town, Alabama"
1600000US0103724,103724,"Bakerhill town, Alabama"
1600000US0103820,103820,"Ballplay CDP, Alabama"
1600000US0103940,103940,"Banks town, Alabama"
1600000US0104660,104660,"Bay Minette city, Alabama"
1600000US0104684,104684,"Bayou La Batre city, Alabama"
1600000US0104852,104852,"Bear Creek town, Alabama"
1600000US0104900,104900,"Beatrice town, Alabama"
1600000US0104948,104948,"Beaverton town, Alabama"
1600000US0105140,105140,"Belgreen CDP, Alabama"
1600000US0105164,105164,"Belk town, Alabama"
1600000US0105188,105188,"Bellamy CDP, Alabama"
1600000US0105212,105212,"Belle Fontaine CDP, Alabama"
1600000US0105692,105692,"Benton town, Alabama"
1600000US0105932,105932,"Berry town, Alabama"
1600000US0105980,105980,"Bessemer city, Alabama"
1600000US0106460,106460,"Billingsley town, Alabama"
1600000US0107000,107000,"Birmingham city, Alabama"
1600000US0107120,107120,"Black town, Alabama"
1600000US0107456,107456,"Blountsville town, Alabama"
1600000US0107588,107588,"Blue Ridge CDP, Alabama"
1600000US0107672,107672,"Blue Springs town, Alabama"
1600000US0107912,107912,"Boaz city, Alabama"
1600000US0108104,108104,"Boligee town, Alabama"
1600000US0108248,108248,"Bon Air town, Alabama"
1600000US0108272,108272,"Bon Secour CDP, Alabama"
1600000US0108680,108680,"Boykin CDP, Alabama"
1600000US0109016,109016,"Brantley town, Alabama"
1600000US0109064,109064,"Brantleyville CDP, Alabama"
1600000US0109136,109136,"Brent city, Alabama"
1600000US0109208,109208,"Brewton city, Alabama"
1600000US0109328,109328,"Bridgeport city, Alabama"
1600000US0109400,109400,"Brighton city, Alabama"
1600000US0109424,109424,"Brilliant town, Alabama"
1600000US0109457,109457,"Bristow Cove CDP, Alabama"
1600000US0109500,109500,"Brook Highland CDP, Alabama"
1600000US0109736,109736,"Brookside town, Alabama"
1600000US0109808,109808,"Brookwood town, Alabama"
1600000US0109880,109880,"Broomtown CDP, Alabama"
1600000US0110240,110240,"Brundidge city, Alabama"
1600000US0110456,110456,"Bucks CDP, Alabama"
1600000US0111032,111032,"Butler town, Alabama"
1600000US0111416,111416,"Calera city, Alabama"
1600000US0111488,111488,"Calvert CDP, Alabama"
1600000US0111512,111512,"Camden city, Alabama"
1600000US0111680,111680,"Camp Hill town, Alabama"
1600000US0112016,112016,"Carbon Hill city, Alabama"
1600000US0112040,112040,"Cardiff town, Alabama"
1600000US0112070,112070,"Carlisle-Rockledge CDP, Alabama"
1600000US0112112,112112,"Carlton CDP, Alabama"
1600000US0112160,112160,"Carolina town, Alabama"
1600000US0112304,112304,"Carrollton town, Alabama"
1600000US0112496,112496,"Castleberry town, Alabama"
1600000US0112544,112544,"Catherine CDP, Alabama"
1600000US0112760,112760,"Cedar Bluff town, Alabama"
1600000US0113264,113264,"Center Point city, Alabama"
1600000US0113648,113648,"Centre city, Alabama"
1600000US0113672,113672,"Centreville city, Alabama"
1600000US0114008,114008,"Chatom town, Alabama"
1600000US0114104,114104,"Chelsea city, Alabama"
1600000US0114152,114152,"Cherokee town, Alabama"
1600000US0114392,114392,"Chickasaw city, Alabama"
1600000US0114464,114464,"Childersburg city, Alabama"
1600000US0114728,114728,"Choccolocco CDP, Alabama"
1600000US0114968,114968,"Chunchula CDP, Alabama"
1600000US0115064,115064,"Citronelle city, Alabama"
1600000US0115136,115136,"Clanton city, Alabama"
1600000US0115256,115256,"Clay city, Alabama"
1600000US0115304,115304,"Clayhatchee town, Alabama"
1600000US0115376,115376,"Clayton town, Alabama"
1600000US0115472,115472,"Cleveland town, Alabama"
1600000US0115640,115640,"Clio city, Alabama"
1600000US0116000,116000,"Coaling town, Alabama"
1600000US0116080,116080,"Coats Bend CDP, Alabama"
1600000US0116240,116240,"Coffee Springs town, Alabama"
1600000US0116264,116264,"Coffeeville town, Alabama"
1600000US0116312,116312,"Coker town, Alabama"
1600000US0116600,116600,"Collinsville town, Alabama"
1600000US0116684,116684,"Colony town, Alabama"
1600000US0116744,116744,"Columbia town, Alabama"
1600000US0116768,116768,"Columbiana city, Alabama"
1600000US0116936,116936,"Concord CDP, Alabama"
1600000US0117176,117176,"Coosada town, Alabama"
1600000US0117368,117368,"Cordova city, Alabama"
1600000US0117704,117704,"Cottondale CDP, Alabama"
1600000US0117824,117824,"Cottonwood town, Alabama"
1600000US0117968,117968,"County Line town, Alabama"
1600000US0118040,118040,"Courtland town, Alabama"
1600000US0118088,118088,"Cowarts town, Alabama"
1600000US0118304,118304,"Creola city, Alabama"
1600000US0118856,118856,"Crossville town, Alabama"
1600000US0118952,118952,"Cuba town, Alabama"
1600000US0118976,118976,"Cullman city, Alabama"
1600000US0119024,119024,"Cullomburg CDP, Alabama"
1600000US0119216,119216,"Cusseta town, Alabama"
1600000US0119336,119336,"Dadeville city, Alabama"
1600000US0119360,119360,"Daleville city, Alabama"
1600000US0119648,119648,"Daphne city, Alabama"
