	GeoID	Place Name	Indeed job count	Craigslist affordable house count	Population	Unemployment rate	Employment to population ratio	Number of people below the poverty level	Number of people with a bachelors degree or higher	Public transportation proportion	Simpsons diversity score	Affordable housing in market	Proportion of public transit to work under 30 minutes	SNAP-authorized Stores per 1000 people (2016)	Farmers Markets per 1000 people (2016)	Farmer Markets with SNAP per 1000 people (2016)	Farmer Markets with WIC per 1000 people (2016)	Farmer Markets with WIC Cash per 1000 people (2016)	Farmer Markets with SFMNP per 1000 people (2016)	Employment to population ratio percentage	Indeed job count normalized	Craigslist affordable house count normalized	Number of people below the poverty level normalized	Number of people with a bachelors degree or higher normalized	Population min_max_normalized	Unemployment rate min_max_normalized	Public transportation proportion min_max_normalized	Simpsons diversity score min_max_normalized	Affordable housing in market min_max_normalized	Proportion of public transit to work under 30 minutes min_max_normalized	SNAP-authorized Stores per 1000 people (2016) min_max_normalized	Farmers Markets per 1000 people (2016) min_max_normalized	Farmer Markets with SNAP per 1000 people (2016) min_max_normalized	Farmer Markets with WIC per 1000 people (2016) min_max_normalized	Farmer Markets with WIC Cash per 1000 people (2016) min_max_normalized	Farmer Markets with SFMNP per 1000 people (2016) min_max_normalized	Employment to population ratio percentage min_max_normalized	Indeed job count normalized min_max_normalized	Craigslist affordable house count normalized min_max_normalized	Number of people below the poverty level normalized min_max_normalized	Number of people with a bachelors degree or higher normalized min_max_normalized
5	100820	Alabaster city, Alabama	622.0	1.0	32567	4.4	63.7	1766	6347	0.0	0.3968649788934495	116		0.569492929	0.118336193	0.0	0.0	0.0	0.0	0.637	0.019099088033899345	3.0705929314950715e-05	0.05422667117020297	0.1948905333619922	0.0031055392345398156	0.14965986394557826	0.0	0.5232450673622582	0.0028711449928221374		0.06721755969334334	0.09443228202004368	0.0	0.0	0.0	0.0	0.716321243523316	0.11515722037574046	0.0001061421306608152	0.14596998980357548	0.3300999283017014
6	100820	Alabaster city, Alabama	622.0	1.0	32567	4.4	63.7	1766	6347	0.0	0.3968649788934495	116		0.569492929	0.118336193	0.0	0.0	0.0	0.0	0.637	0.019099088033899345	3.0705929314950715e-05	0.05422667117020297	0.1948905333619922	0.0031055392345398156	0.14965986394557826	0.0	0.5232450673622582	0.0028711449928221374		0.06721755969334334	0.09443228202004368	0.0	0.0	0.0	0.0	0.716321243523316	0.11515722037574046	0.0001061421306608152	0.14596998980357548	0.3300999283017014
7	100988	Albertville city, Alabama	143.0	1.0	21342	3.1	55.2	2575	1209	0.0038633345406253773	0.11897783420311991	146	1.0	0.8036647109999999	0.160732942	0.0	0.0	0.0	0.0	0.552	0.006700402961296973	4.6855964764314496e-05	0.12065410926810984	0.056648861400056226	0.001793298394799201	0.1054421768707483	0.005485892066031733	0.15628354207329775	0.0036136824909657936	0.9999999999999998	0.1070941872474613	0.12826488772420896	0.0	0.0	0.0	0.0	0.6062176165803109	0.04016345417884582	0.00016196845512279865	0.3247825971899789	0.0928285048492618
8	101132	Alexander City city, Alabama	67.0	2.0	14705	11.6	45.1	1772	1229	0.0	0.5114924906785172	108		1.520881289	0.164419599	0.0	0.0	0.0	0.0	0.451	0.004556273376402584	0.0001360081604896294	0.12050323019381162	0.08357701462087726	0.001017410425680407	0.3945578231292517	0.0	0.6746154613097782	0.0026731349933171627		0.2292275122462223	0.13120684001039726	0.0	0.0	0.0	0.0	0.4753886010362694	0.027194631126736084	0.00047014359323097846	0.32437645356246847	0.13904670486791357
9	101132	Alexander City city, Alabama	67.0	2.0	14705	11.6	45.1	1772	1229	0.0	0.5114924906785172	108		1.520881289	0.164419599	0.0	0.0	0.0	0.0	0.451	0.004556273376402584	0.0001360081604896294	0.12050323019381162	0.08357701462087726	0.001017410425680407	0.3945578231292517	0.0	0.6746154613097782	0.0026731349933171627		0.2292275122462223	0.13120684001039726	0.0	0.0	0.0	0.0	0.4753886010362694	0.027194631126736084	0.00047014359323097846	0.32437645356246847	0.13904670486791357
14	101708	Andalusia city, Alabama	16.0		8918	11.1	49.9	875	937	0.0	0.4130452014349678	283								0.499	0.001794124243103835		0.09811616954474098	0.10506840098676834	0.0003408903597936421	0.3775510204081633	0.0	0.5446117237794414	0.007004603732488491								0.5375647668393781	0.010487700908684833		0.26411387531162955	0.1759334971254999
16	101852	Anniston city, Alabama	114.0	21.0	22097	13.7	42.8	3480	2185	0.004511490201607219	0.5218658584310586	402	0.6873126873126874	0.7824726129999999	0.0					0.428	0.005159071367153913	0.0009503552518441417	0.15748744173417206	0.09888220120378331	0.0018815604735523558	0.46598639455782315	0.0064062658935486886	0.6883139246089637	0.009950002475124994	0.6873126873126872	0.10348542878895339	0.0					0.44559585492227977	0.030840670308927735	0.003285122240749701	0.42393235225473713	0.16531579837056742
17	102116	Arab city, Alabama	180.0		8200	7.5	50.3	803	1078	0.0028855402372555306	0.05656306639310771	64	0.0							0.503	0.02195121951219512		0.09792682926829269	0.13146341463414635	0.00025695370741646956	0.25510204081632654	0.004097435033729437	0.07386224683259196	0.0015840799960398	0.0							0.5427461139896372	0.13240841112650473		0.2636041999502965	0.2212366417654488
25	102956	Athens city, Alabama	452.0	65.0	24735	8.8	53.4	2315	3645	0.0	0.35858719119946936	123		0.768442623	0.07318501200000001	0.0	0.0	0.0	0.0	0.534	0.01827370123307055	0.0026278552658176675	0.09359207600566	0.14736203759854458	0.002189951683818346	0.2993197278911565	0.0	0.4726976576484227	0.0030444037423889908		0.10109629086191659	0.058401639579737714	0.0	0.0	0.0	0.0	0.582901554404145	0.110164847039302	0.009083788154437033	0.25193570037447893	0.24852428121714096
26	103004	Atmore city, Alabama	23.0		9969	19.7	27.5	935	425	0.0	0.5286329616485801	255								0.275	0.0023071521717323703		0.09379075132912028	0.04263215969505467	0.00046375584955465644	0.6700680272108843	0.0	0.6972501656907769	0.006311568734221078								0.24740932642487046	0.013590763556599173		0.25247050426920253	0.06877090544052719
28	103076	Auburn city, Alabama	164.0		61462	5.3	54.6	12616	13968	0.018375744017896378	0.43402073224930626	1229	0.871871871871872	0.921634436	0.0319642	0.0319642	0.0	0.0	0.0	0.546	0.0026683153818619636		0.20526504181445446	0.2272623734990726	0.006483463427350957	0.18027210884353742	0.026093352065464575	0.5723107840938464	0.030419286173951784	0.8718718718718718	0.12718300728508103	0.025507431601632477	0.0708326671852668	0.0	0.0	0.0	0.5984455958549223	0.015775268540859876		0.5525424189628394	0.38566141334518944
37	104660	Bay Minette city, Alabama	215.0		8990	5.0	45.3	941	615	0.0	0.5128295426358562	171								0.45299999999999996	0.023915461624026697		0.10467185761957731	0.06840934371523916	0.00034930740571447274	0.17006802721088435	0.0	0.6763810939956748	0.004232463739418841								0.4779792746113989	0.14428918016178707		0.2817607951905158	0.11301363672598724
48	105980	Bessemer city, Alabama	729.0	126.0	26697	13.9	46.0	3992	1882	0.01024003523452984	0.43564845758552984	402	0.3656343656343657	0.757460991	0.0					0.46	0.02730643892572199	0.004719631419260591	0.14952990972768476	0.07049481215117803	0.002419316185160982	0.47278911564625853	0.01454073610718144	0.5744602630587612	0.009950002475124994	0.36563436563436563	0.09922625150251851	0.0					0.48704663212435234	0.16479959376235914	0.016314495146386367	0.4025118807269395	0.11659303545097226
49	105980	Bessemer city, Alabama	729.0	126.0	26697	13.9	46.0	3992	1882	0.01024003523452984	0.43564845758552984	402	0.3656343656343657	0.757460991	0.0					0.46	0.02730643892572199	0.004719631419260591	0.14952990972768476	0.07049481215117803	0.002419316185160982	0.47278911564625853	0.01454073610718144	0.5744602630587612	0.009950002475124994	0.36563436563436563	0.09922625150251851	0.0					0.48704663212435234	0.16479959376235914	0.016314495146386367	0.4025118807269395	0.11659303545097226
51	107000	Birmingham city, Alabama	763.0	3000.0	212265	10.7	53.7	33091	30742	0.025120625849065444	0.411510737508351	5079	0.594	0.921634436	0.0319642	0.0319642	0.0	0.0	0.0	0.537	0.0035945633995241796	0.014133276800226132	0.15589475419876098	0.1448283984641839	0.024112849205115226	0.36394557823129253	0.03567100922531859	0.5425854003824391	0.125711598435721	0.5939999999999999	0.12718300728508103	0.025507431601632477	0.0708326671852668	0.0	0.0	0.0	0.5867875647668394	0.02137770354668084	0.04885493278539706	0.41964507851494715	0.2441756636447921
52	107000	Birmingham city, Alabama	763.0	3000.0	212265	10.7	53.7	33091	30742	0.025120625849065444	0.411510737508351	5079	0.594	0.921634436	0.0319642	0.0319642	0.0	0.0	0.0	0.537	0.0035945633995241796	0.014133276800226132	0.15589475419876098	0.1448283984641839	0.024112849205115226	0.36394557823129253	0.03567100922531859	0.5425854003824391	0.125711598435721	0.5939999999999999	0.12718300728508103	0.025507431601632477	0.0708326671852668	0.0	0.0	0.0	0.5867875647668394	0.02137770354668084	0.04885493278539706	0.41964507851494715	0.2441756636447921
57	107912	Boaz city, Alabama	154.0		9580	6.1	52.8	933	861	0.0	0.05669111666134452	81								0.528	0.016075156576200417		0.09739039665970772	0.08987473903966597	0.0004182804208990574	0.20748299319727892	0.0	0.0740313425343676	0.0020048512449878718								0.5751295336787565	0.09686689302197778		0.2621602045746688	0.1498558191975538
70	109500	Brook Highland CDP, Alabama	781.0		6748	3.4	72.4	780	2480	0.0	0.4165549550106068	265								0.7240000000000001	0.11573799644339064		0.11558980438648489	0.36751630112625966	8.72099480130511e-05	0.11564625850340136	0.0	0.5492464992633528	0.006559081233602297								0.829015544041451	0.6996801484400275		0.3111502550974185	0.6263865766089922
77	111416	Calera city, Alabama	371.0	9.0	13216	2.2	68.8	346	2904	0.0009300883583940474	0.4445254425348213	176	0.0	0.771969419	0.026242586	0.026242586	0.0	0.0	0.0	0.688	0.028072033898305086	0.0006809927360774818	0.026180387409200968	0.21973365617433413	0.0008433412399010062	0.07482993197278913	0.0013207151211907314	0.5861826906672395	0.00435621998910945	0.0	0.1016968616452544	0.02094158362934026	0.05815357056390405	0.0	0.0	0.0	0.7823834196891192	0.1694303146847161	0.0023540085444216795	0.07047363964459294	0.37273948140484364
78	111416	Calera city, Alabama	371.0	9.0	13216	2.2	68.8	346	2904	0.0009300883583940474	0.4445254425348213	176	0.0	0.771969419	0.026242586	0.026242586	0.0	0.0	0.0	0.688	0.028072033898305086	0.0006809927360774818	0.026180387409200968	0.21973365617433413	0.0008433412399010062	0.07482993197278913	0.0013207151211907314	0.5861826906672395	0.00435621998910945	0.0	0.1016968616452544	0.02094158362934026	0.05815357056390405	0.0	0.0	0.0	0.7823834196891192	0.1694303146847161	0.0023540085444216795	0.07047363964459294	0.37273948140484364
91	113264	Center Point city, Alabama	730.0		16564	13.4	53.5	2103	1182	0.005625879043600563	0.4405166036005169	331	0.528	0.761947588	0.07494566400000001	0.0	0.0	0.0	0.0	0.535	0.04407148031876358		0.1269620864525477	0.07135957498188843	0.0012347338752196322	0.4557823129251701	0.00798868565100929	0.5808888522221058	0.008192663729518341	0.5279999999999999	0.09999026480944385	0.059806639875827634	0.0	0.0	0.0	0.0	0.5841968911917098	0.2662033786918792		0.34176271685108656	0.11807727319838544
95	114104	Chelsea city, Alabama	766.0	0.0	12199	3.7	68.4	324	3153	0.0	0.1409948911457639	0		1.027622493	0.164419599	0.0	0.0	0.0	0.0	0.684	0.06279203213378146	0.0	0.026559554061808346	0.25846380850889417	0.0007244504662692729	0.12585034013605442	0.0	0.18535798093246136	0.0		0.14523149390493187	0.13120684001039726	0.0	0.0	0.0	0.0	0.7772020725388602	0.3794351188055613	0.0	0.07149429887409342	0.43921407075646246
96	114104	Chelsea city, Alabama	766.0	0.0	12199	3.7	68.4	324	3153	0.0	0.1409948911457639	0		1.027622493	0.164419599	0.0	0.0	0.0	0.0	0.684	0.06279203213378146	0.0	0.026559554061808346	0.25846380850889417	0.0007244504662692729	0.12585034013605442	0.0	0.18535798093246136	0.0		0.14523149390493187	0.13120684001039726	0.0	0.0	0.0	0.0	0.7772020725388602	0.3794351188055613	0.0	0.07149429887409342	0.43921407075646246
103	115136	Clanton city, Alabama	35.0		8701	7.8	47.0	857	821	0.0	0.4133519616194876	79								0.47	0.004022526146419952		0.09849442592805424	0.09435697046316516	0.00031552231861558297	0.2653061224489796	0.0	0.5450168133539691	0.001955348745111628								0.49999999999999994	0.023966247250609758		0.2651320842339894	0.15754890779380382
104	115256	Clay city, Alabama	607.0		9685	4.4	61.2	175	1333	0.0	0.36051445200225474	29								0.612	0.06267423851316468		0.018069179143004648	0.13763551884357253	0.00043055527953360216	0.14965986394557826	0.0	0.47524268564749717	0.0007177862482055343								0.6839378238341969	0.3787226410555183		0.0486394948896048	0.23183014754907802
129	118976	Cullman city, Alabama	100.0	7.0	15111	5.8	51.9	1238	1839	0.0015274949083503055	0.07551251013984517	191	1.0	0.664716831	0.056975728	0.018991909331434145	0.0	0.0	0.0	0.519	0.00661769571835087	0.0004632387002845609	0.08192707299318377	0.1216994242604725	0.0010648732124006468	0.19727891156462585	0.002169025775662273	0.09888577495739664	0.004727488738181278	0.9999999999999998	0.08343304066151494	0.04546663094690987	0.04208607106970416	0.0	0.0	0.0	0.5634715025906736	0.039663197288379616	0.0016012914687721118	0.22053527814598947	0.20447819359523708
134	119648	Daphne city, Alabama	424.0	119.0	24685	4.8	63.0	1969	5455	0.004129793510324484	0.3135187231232377	216	0.0	0.93479785	0.233699462	0.0	0.0	0.0	0.0	0.63	0.017176422928904193	0.004820741340895281	0.07976503949767065	0.2209844034838971	0.0021841065130399915	0.163265306122449	0.005864260838506378	0.4131828722267338	0.005346269986634325	0.0	0.12942457778061867	0.1864921706879355	0.0	0.0	0.0	0.0	0.7072538860103628	0.10352793093781859	0.01666400492357551	0.21471541127080399	0.3748862045333156
139	120104	Decatur city, Alabama	416.0	33.0	54844	6.2	53.3	6129	7114	0.002534624785009505	0.43367163445596835	862	1.0	1.500934714	0.0					0.5329999999999999	0.007585150609000073	0.000601706658887025	0.11175333673692656	0.12971336882794837	0.005709796623127938	0.2108843537414966	0.003599138995661559	0.5718497859470589	0.021335577446661057	0.9999999999999998	0.22583085131866748	0.0					0.5816062176165802	0.04551487312743377	0.002079937921825822	0.30082306496011396	0.21823294647118255
142	120296	Demopolis city, Alabama	14.0		6999	12.0	45.2	968	848	0.0	0.49721584772184624	83								0.452	0.0020002857551078726		0.13830547221031575	0.12116016573796257	0.00011655270532039134	0.40816326530612246	0.0	0.6557625608590429	0.0020543537448641158								0.47668393782383417	0.011734674127175009		0.3722973941172299	0.2035526359437062
146	121184	Dothan city, Alabama	146.0	26.0	67784	8.1	53.7	6828	8867	0.0012141727068692742	0.4772936127903268	1598	0.848	1.500934714	0.0					0.537	0.002153900625516346	0.0003835713442700342	0.10073173610291514	0.13081258114009206	0.007222526820566117	0.2755102040816327	0.0017241117354357316	0.6294544215394561	0.039552497401118755	0.8479999999999998	0.22583085131866748	0.0					0.5867875647668394	0.012663817629757847	0.0013259028679334355	0.2711545845343828	0.22011958214534158
165	124184	Enterprise city, Alabama	89.0	13.0	27776	5.9	55.2	2094	4241	0.0	0.3968208653424664	513		0.636569959	0.017024156999999998	0.0010014209999699574	0.0	0.0	0.0	0.552	0.003204205069124424	0.00046802995391705067	0.07538882488479262	0.1526857718894009	0.002545454970557875	0.20068027210884357	0.0	0.5231868135845502	0.012697391218256523		0.07863996814880103	0.013585277286869457	0.0022191489354718426	0.0	0.0	0.0	0.6062176165803109	0.019016611125058022	0.0016178535426267279	0.2029353040166623	0.25766168526721533
168	124568	Eufaula city, Alabama	14.0	1.0	12467	14.2	48.6	1659	1017	0.0	0.5453920003927382	323		0.6867274320000001	0.0					0.486	0.0011229646266142617	8.021175904387583e-05	0.13307130825379002	0.08157535894762172	0.0007557805816412538	0.48299319727891155	0.0	0.7193811729627627	0.007994653730013365		0.08718118029995907	0.0					0.5207253886010362	0.006428174671419728	0.00027727045554108996	0.35820781710878297	0.1356111583780985
169	124568	Eufaula city, Alabama	14.0	1.0	12467	14.2	48.6	1659	1017	0.0	0.5453920003927382	323		0.6867274320000001	0.0					0.486	0.0011229646266142617	8.021175904387583e-05	0.13307130825379002	0.08157535894762172	0.0007557805816412538	0.48299319727891155	0.0	0.7193811729627627	0.007994653730013365		0.08718118029995907	0.0					0.5207253886010362	0.006428174671419728	0.00027727045554108996	0.35820781710878297	0.1356111583780985
175	125120	Fairfield city, Alabama	762.0	15.0	10850	12.3	49.8	1400	984	0.010301692420897719	0.10585150239794161	297	0.595	0.972313777	0.06591957799999999	0.06591957799999999	0.0	0.0	0.0	0.498	0.07023041474654378	0.0013824884792626728	0.12903225806451613	0.09069124423963133	0.000566747758669265	0.41836734693877553	0.01462828862585476	0.13894967531222463	0.007351121231622197	0.5949999999999999	0.13581308725665142	0.05260382324736664	0.1460777848176158	0.0	0.0	0.0	0.5362694300518134	0.42442636773865966	0.004778890464374335	0.347335305442081	0.1512572298453174
176	125120	Fairfield city, Alabama	762.0	15.0	10850	12.3	49.8	1400	984	0.010301692420897719	0.10585150239794161	297	0.595	0.972313777	0.06591957799999999	0.06591957799999999	0.0	0.0	0.0	0.498	0.07023041474654378	0.0013824884792626728	0.12903225806451613	0.09069124423963133	0.000566747758669265	0.41836734693877553	0.01462828862585476	0.13894967531222463	0.007351121231622197	0.5949999999999999	0.13581308725665142	0.05260382324736664	0.1460777848176158	0.0	0.0	0.0	0.5362694300518134	0.42442636773865966	0.004778890464374335	0.347335305442081	0.1512572298453174
178	125240	Fairhope city, Alabama	430.0	3.0	19561	3.9	52.6	776	4829	0.005224512849477549	0.13463208214888134	270	0.649	0.777342166	0.033797485	0.0	0.0	0.0	0.0	0.526	0.02198251623127652	0.00015336639231123154	0.03967077347783855	0.24686876949031236	0.001585093411674209	0.1326530612244898	0.007418750120767489	0.17695562717399474	0.006682837483292906	0.6489999999999999	0.10261177559958175	0.02697039303172611	0.0	0.0	0.0	0.0	0.572538860103627	0.13259771013843838	0.0005301463272681513	0.10678771672862714	0.41931289787652937
188	126896	Florence city, Alabama	110.0	29.0	39824	6.4	51.4	5363	5234	0.001721280122402142	0.3321628484948348	918	0.7407407407407407	0.657414611	0.03618796	0.0	0.0	0.0	0.0	0.514	0.0027621534752912814	0.0007282040980313379	0.13466753716351948	0.131428284451587	0.003953907321310206	0.217687074829932	0.0024441986236520678	0.43780321474622697	0.02272164744319588	0.7407407407407406	0.08218956074787516	0.028877992081848193	0.0	0.0	0.0	0.0	0.5569948186528497	0.016342850667334805	0.0025172055119448648	0.36250462369213476	0.22117634599280872
189	126992	Foley city, Alabama	265.0	20.0	17315	10.5	46.1	1259	2121	0.0	0.3199808212344244	896		1.204930948	0.092686996	0.0	0.0	0.0	0.0	0.461	0.015304649148137454	0.001155067860236789	0.07271152180190586	0.12249494657811147	0.0013225283403105188	0.35714285714285715	0.0	0.42171634138771474	0.0221771199445572		0.17542498332472492	0.07396422281273371	0.0	0.0	0.0	0.0	0.4883419689119171	0.0922064589860485	0.003992758613030054	0.1957284094152322	0.20584359022286433
190	127088	Forestdale CDP, Alabama	761.0		10118	10.0	54.7	660	1449	0.0	0.39709084693772634	81		1.366680333	0.0					0.547	0.07521249258746789		0.06523028266455821	0.14321012057718918	0.00048117445847415324	0.3401360544217687	0.0	0.5235433355032123	0.0020048512449878718		0.20296895095252662	0.0					0.5997409326424871	0.4545605939561316		0.175590046188599	0.24139812853298753
193	127616	Fort Payne city, Alabama	84.0	1.0	14017	6.8	55.0	1463	1024	0.0	0.2806620198786064	287		0.861205763	0.067252511	0.0	0.0	0.0	0.0	0.55	0.005992723121923379	7.134194192765928e-05	0.10437326104016552	0.0730541485339231	0.0009369808757702474	0.23129251700680273	0.0	0.36979422986239263	0.007103608732240978		0.11689273376779369	0.05366750378143473	0.0	0.0	0.0	0.0	0.6036269430051814	0.03588303443227829	0.0002466098857980145	0.28095701840113263	0.12098575855688741
201	128552	Fultondale city, Alabama	746.0		9012	4.4	64.0	562	1520	0.0	0.38970868604836395	0								0.64	0.08277851753217931		0.062361296049711495	0.16866400355082112	0.0003518792808569488	0.14965986394557826	0.0	0.5137948852000948	0.0								0.7202072538860104	0.5003238908235846		0.16786716853672703	0.28508596129595065
203	128696	Gadsden city, Alabama	141.0	9.0	35832	9.6	46.0	4998	2742	0.0042655935613682095	0.4972380586207109	450	0.755	1.976284585	0.494071146	0.0	0.0	0.0	0.0	0.46	0.003935030140656396	0.0002511721366376423	0.13948425987943738	0.07652377762893503	0.003487228886366373	0.326530612244898	0.006057095400140505	0.6557918912742174	0.011138062472154844	0.7549999999999998	0.30677719592890335	0.3942687745332332	0.0	0.0	0.0	0.0	0.48704663212435234	0.023437025404827606	0.000868234453088773	0.3754705120742992	0.1269408647310384
208	129056	Gardendale city, Alabama	733.0	4.0	13799	5.5	56.6	715	2238	0.00017205781142463867	0.2770615860468749	43	0.0	0.790246105	0.0					0.5660000000000001	0.05311979128922386	0.000289876077976665	0.05181534893832886	0.16218566562794406	0.0009114959311766212	0.1870748299319728	0.00024432017798811103	0.3650397073310733	0.0010643037473392406	0.0	0.10480916063500016	0.0					0.6243523316062176	0.32093232078711303	0.0010020235580058756	0.1394790753881391	0.27396685054770825
209	129056	Gardendale city, Alabama	733.0	4.0	13799	5.5	56.6	715	2238	0.00017205781142463867	0.2770615860468749	43	0.0	0.790246105	0.0					0.5660000000000001	0.05311979128922386	0.000289876077976665	0.05181534893832886	0.16218566562794406	0.0009114959311766212	0.1870748299319728	0.00024432017798811103	0.3650397073310733	0.0010643037473392406	0.0	0.10480916063500016	0.0					0.6243523316062176	0.32093232078711303	0.0010020235580058756	0.1394790753881391	0.27396685054770825
232	131912	Greenville city, Alabama	27.0		7766	6.8	52.7	1049	856	0.0	0.5121582269944945	302								0.527	0.003476693278392995		0.13507597218645379	0.11022405356682977	0.0002062176250603514	0.23129251700680273	0.0	0.6754945937871857	0.007474877481312806								0.5738341968911918	0.02066476308130483		0.3636040689438268	0.18478241373028637
237	132272	Gulf Shores city, Alabama	171.0	55.0	11358	7.9	52.9	879	2102	0.0	0.038913112651777104	3008		0.636569959	0.017024156999999998	0.0010014209999699574	0.0	0.0	0.0	0.529	0.015055467511885896	0.004842401831308329	0.07739038563127311	0.18506779362563833	0.000626134693777348	0.2687074829931973	0.0	0.05055474927484811	0.0744517598138706		0.07863996814880103	0.013585277286869457	0.0022191489354718426	0.0	0.0	0.0	0.5764248704663213	0.09069927743734522	0.016738879407262926	0.2083232025442698	0.3132406455227051
238	132416	Guntersville city, Alabama	108.0		8333	7.5	46.1	846	1280	0.009155645981688708	0.2588912234158447	75	0.852							0.461	0.01296051842073683		0.1015240609624385	0.15360614424576982	0.0002725018616868929	0.25510204081632654	0.013000915432555557	0.34104498820303725	0.0018563437453591406	0.8519999999999998							0.4883419689119171	0.07802792386911926		0.273287403111845	0.2592413685566511
245	132848	Hamilton city, Alabama	37.0		6718	5.0	48.1	633	509	0.0	0.160829971196913	155								0.48100000000000004	0.0055075915451027095		0.09422447156891932	0.07576659720154807	8.370284554603832e-05	0.17006802721088435	0.0	0.21155102860981798	0.0038364437404088906								0.5142487046632125	0.03294870358721039		0.25363801349694687	0.12564127629821117
250	133448	Hartselle city, Alabama	265.0	15.0	14395	5.0	58.3	595	2016	0.0	0.20375754854352357	206		1.520881289	0.164419599	0.0	0.0	0.0	0.0	0.583	0.018409169850642584	0.0010420284821118443	0.04133379645710316	0.1400486279958319	0.0009811703668546085	0.17006802721088435	0.0	0.2682386788342518	0.0050987574872531066		0.2292275122462223	0.13120684001039726	0.0	0.0	0.0	0.0	0.6463730569948186	0.11098423246394376	0.003602011916530846	0.11126432283569268	0.23597189319911865
259	134024	Helena city, Alabama	677.0	177.0	17928	2.7	70.5	424	5228	0.0	0.3224198904471923	38		0.46113106	0.030516026	0.01017200866564947	0.0	0.0	0.0	0.705	0.03776215975011156	0.009872824631860776	0.023650156180276664	0.29161088799643015	0.0013941901340531466	0.09183673469387756	0.0	0.4249372336661254	0.0009405474976486313		0.04876484154653807	0.02435178874955852	0.02254117119839066	0.0	0.0	0.0	0.8044041450777202	0.22804129063043643	0.034127696684172586	0.0636626402098772	0.49610613970846673
260	134024	Helena city, Alabama	677.0	177.0	17928	2.7	70.5	424	5228	0.0	0.3224198904471923	38		0.46113106	0.030516026	0.01017200866564947	0.0	0.0	0.0	0.705	0.03776215975011156	0.009872824631860776	0.023650156180276664	0.29161088799643015	0.0013941901340531466	0.09183673469387756	0.0	0.4249372336661254	0.0009405474976486313		0.04876484154653807	0.02435178874955852	0.02254117119839066	0.0	0.0	0.0	0.8044041450777202	0.22804129063043643	0.034127696684172586	0.0636626402098772	0.49610613970846673
