state,min_wage,
Alabama,7.25,
Alaska,9.84,
Arizona,10.50,
Arkansas,8.50,
California,11.00,
Colorado,10.20,
Connecticut,10.10,
Delaware,8.25,
D.C.,11.50,
Florida,8.25,
Georgia,5.15,
Hawaii,10.10,
Idaho,7.25,
Illinois,8.25,
Indiana,7.25,
Iowa,7.25,
Kansas,7.25,
Kentucky,7.25,
Louisiana,7.25,
Maine,10.00,
Maryland,8.75,
Massachusetts,11.00,
Michigan,9.25,
Minnesota,9.65,
Mississippi,7.25,
Missouri,7.70,
Montana,8.15,
Nebraska,9.00,
Nevada,7.25,
New Hampshire,7.25,
New Jersey,8.60,
New Mexico,7.50,
New York,10.40,
North Carolina,7.25,
North Dakota,7.25,
Ohio,8.30,
Oklahoma,7.25,
Oregon,9.50,
Pennsylvania,7.25,
Rhode Island,10.10,
South Carolina,7.25,
South Dakota,8.85,
Tennessee,7.25,
Texas,7.25,
Utah,7.25,
Vermont,10.50,
Virginia,7.25,
Washington,11.50,
West Virginia,8.75,
Wisconsin,7.25,
Wyoming,5.15,
