,Unnamed: 0,baths,bedrooms,contentLen,pid,date2,latitude,link,longitude,numPic,date,rent,reposts,sqft,title,updateDate,zipcode,state2,region2
0,0,1.0,1.0,10,6837246174,Mar 26,33.509196,https://phoenix.craigslist.org/cph/apa/d/haven-of-cool-metropolitan-style-just/6837246174.html,-112.036171,4,"2019-03-09T08:50:03-0700,2019-03-09T08:50:03-0700,2019-03-26T09:18:51-0700",995.0,0,771.0,"A haven of cool metropolitan style, just steps away from restaurants,","2019-03-09T08:50:03-0700,2019-03-09T08:50:03-0700,2019-03-26T09:18:51-0700",,Arizona,Phoenix
1,1,2.0,2.0,19,6850835985,Mar 26,33.49596,https://phoenix.craigslist.org/cph/apa/d/phoenix-lease-today-close-to-valley/6850835985.html,-112.076048,24,"2019-03-26T09:17:24-0700,2019-03-26T09:17:24-0700",1530.0,0,1122.0,"Lease Today, Close to Valley Metro Light Rail, Resort Style Pool","2019-03-26T09:17:24-0700,2019-03-26T09:17:24-0700",,Arizona,Phoenix
3,3,2.0,2.0,20,6838779205,Mar 25,33.472614,https://phoenix.craigslist.org/cph/apa/d/phoenix-24-hour-fitness-club-cable/6838779205.html,-111.986938,9,"2019-03-11T09:39:21-0700,2019-03-11T09:39:21-0700,2019-03-25T23:18:25-0700",1258.0,0,1000.0,"24 Hour Fitness Club, Cable Ready, Night Patrol","2019-03-11T09:39:21-0700,2019-03-11T09:39:21-0700,2019-03-25T23:18:25-0700",,Arizona,Phoenix
4,4,2.0,2.0,36,6840888185,Mar 25,33.525483,https://phoenix.craigslist.org/cph/apa/d/phoenix-white-quartz-countertops/6840888185.html,-112.055826,9,"2019-03-13T17:19:33-0700,2019-03-13T17:19:33-0700,2019-03-25T16:30:32-0700",1350.0,0,,"White quartz countertops, Stainless Steel Appliances, Fire Pits","2019-03-13T17:19:33-0700,2019-03-13T17:19:33-0700,2019-03-25T16:30:32-0700",,Arizona,Phoenix
6,6,,,21,6835863412,Mar 25,33.4511,https://phoenix.craigslist.org/cph/apa/d/phoenix-tapestry-on-central-condo-for/6835863412.html,-112.0774,3,"2019-03-07T12:48:54-0700,2019-03-07T12:48:54-0700,2019-03-25T15:03:08-0700",1800.0,0,,Tapestry on Central Condo For Rent,"2019-03-07T12:48:54-0700,2019-03-07T12:48:54-0700,2019-03-25T15:03:08-0700",,Arizona,Phoenix
7,7,,,21,6835865620,Mar 25,33.4511,https://phoenix.craigslist.org/cph/apa/d/phoenix-tapestry-on-central/6835865620.html,-112.0774,3,"2019-03-07T12:51:07-0700,2019-03-07T12:51:07-0700,2019-03-25T15:03:05-0700",2500.0,0,,Tapestry On Central,"2019-03-07T12:51:07-0700,2019-03-07T12:51:07-0700,2019-03-25T15:03:05-0700",,Arizona,Phoenix
8,8,1.0,0.0,41,6844674422,Mar 25,33.4557,https://phoenix.craigslist.org/cph/apa/d/phoenix-imagine-coming-home-to-this/6844674422.html,-112.0686,10,"2019-03-18T15:30:16-0700,2019-03-18T15:30:16-0700,2019-03-25T13:43:15-0700",1218.0,0,,Imagine coming home to this Beautiful Apartment in Central Phoenix!,"2019-03-18T15:30:16-0700,2019-03-18T15:30:16-0700,2019-03-25T13:43:15-0700",,Arizona,Phoenix
9,9,1.0,1.0,17,6850918153,Mar 26,34.019742,https://losangeles.craigslist.org/wst/apa/d/santa-monica-furnished-newer-1-bedroom/6850918153.html,-118.489562,7,"2019-03-26T10:34:54-0700,2019-03-26T10:34:54-0700,2019-03-26T10:39:33-0700",4700.0,0,,Furnished!!! Newer 1 bedroom and 1 bathroom Upscale and Pet Friendly!,"2019-03-26T10:34:54-0700,2019-03-26T10:34:54-0700,2019-03-26T10:39:33-0700",,California,Santa Monica
10,10,2.0,2.0,20,6850932279,Mar 26,34.018464,https://losangeles.craigslist.org/wst/apa/d/santa-monica-2-bedroom-furnished-and/6850932279.html,-118.491789,9,"2019-03-26T10:48:20-0700,2019-03-26T10:48:20-0700",5700.0,0,,2 Bedroom Furnished and Chic Living!,"2019-03-26T10:48:20-0700,2019-03-26T10:48:20-0700",,California,Santa Monica
11,11,1.0,1.0,41,6847083854,Mar 25,33.4557,https://phoenix.craigslist.org/cph/apa/d/phoenix-this-one-has-it-all-newer/6847083854.html,-112.0686,10,"2019-03-21T13:30:53-0700,2019-03-21T13:30:53-0700,2019-03-25T13:43:03-0700",1360.0,0,,This one has it all! Newer Construction with all the Bells & Whistles!,"2019-03-21T13:30:53-0700,2019-03-21T13:30:53-0700,2019-03-25T13:43:03-0700",,Arizona,Phoenix
12,12,1.0,1.0,32,6830244603,Mar 26,34.089349,https://losangeles.craigslist.org/wst/apa/d/west-hollywood-bright-top-floor-one/6830244603.html,-118.388482,10,"2019-02-28T09:27:57-0800,2019-02-28T09:27:57-0800,2019-03-26T10:08:04-0700",2200.0,0,,Bright Top Floor One Bedroom in the Heart of West Hollywood!,"2019-02-28T09:27:57-0800,2019-02-28T09:27:57-0800,2019-03-26T10:08:04-0700",,California,West Hollywood
13,13,,,21,6850855816,Mar 26,37.7621,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-new-lovely-studio/6850855816.html,-122.3971,4,"2019-03-26T09:35:41-0700,2019-03-26T09:35:41-0700",3120.0,0,533.0,New Lovely Studio Available 4/30/19,"2019-03-26T09:35:41-0700,2019-03-26T09:35:41-0700",,California,SF
14,14,2.0,2.0,3,6848779974,Mar 26,37.784174,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-update-2-bedrooms-2-baths/6848779974.html,-122.478579,11,"2019-03-23T14:22:47-0700,2019-03-23T14:22:47-0700,2019-03-26T10:30:08-0700",3800.0,0,1200.0,**Update 2 bedrooms 2 baths unit w/Hardwood floor some furnished,"2019-03-23T14:22:47-0700,2019-03-23T14:22:47-0700,2019-03-26T10:30:08-0700",,California,SF
15,15,1.0,3.0,38,6850153395,Mar 25,33.490414,https://phoenix.craigslist.org/cph/apa/d/phoenix-3bd-1ba-house-for-rent-1400sqft/6850153395.html,-112.056179,8,"2019-03-25T11:43:20-0700,2019-03-25T11:43:20-0700",1400.0,0,1400.0,3bd/1ba HOUSE for Rent !!! 1400sqft,"2019-03-25T11:43:20-0700,2019-03-25T11:43:20-0700",,Arizona,Phoenix
16,16,1.0,2.0,38,6850914831,Mar 26,37.766719,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-love-where-you-live/6850914831.html,-122.430866,8,"2019-03-26T10:31:48-0700,2019-03-26T10:31:48-0700",5285.0,0,852.0,Love Where You Live!,"2019-03-26T10:31:48-0700,2019-03-26T10:31:48-0700",,California,SF
17,17,,,5,6842324319,Mar 26,32.7635,https://sandiego.craigslist.org/csd/apa/d/san-diego-charming-3-beds-2-bath-920/6842324319.html,-117.2028,0,"2019-03-15T13:26:10-0700,2019-03-15T13:26:10-0700,2019-03-26T10:13:31-0700",1000.0,0,,:Charming 3 beds 2 bath 920 sqft home rent to own: (San Diego),"2019-03-15T13:26:10-0700,2019-03-15T13:26:10-0700,2019-03-26T10:13:31-0700",,California,San Diego
18,18,1.0,1.0,44,6850938491,Mar 26,32.77349,https://sandiego.craigslist.org/csd/apa/d/la-mesa-the-right-place-for-you/6850938491.html,-117.037987,7,"2019-03-26T10:54:16-0700,2019-03-26T10:54:16-0700",1645.0,0,750.0,The right place for you! Beautiful 1 bed / 1 bath - prime location!,"2019-03-26T10:54:16-0700,2019-03-26T10:54:16-0700",,California,La Mesa
19,19,1.0,2.0,39,6850151470,Mar 25,33.507441,https://phoenix.craigslist.org/cph/apa/d/phoenix-special-rent-price-when-you-call/6850151470.html,-112.078624,14,"2019-03-25T11:41:27-0700,2019-03-25T11:41:27-0700",1030.0,0,765.0,Special rent price when you call,"2019-03-25T11:41:27-0700,2019-03-25T11:41:27-0700",,Arizona,Phoenix
20,20,1.0,1.0,29,6848908921,Mar 26,33.968707,https://losangeles.craigslist.org/wst/apa/d/marina-del-rey-1bd-1ba-starting-from/6848908921.html,-118.455672,11,"2019-03-23T17:42:14-0700,2019-03-23T17:42:14-0700,2019-03-26T09:34:07-0700",2617.0,0,831.0,1bd/1ba - Starting from 831 SqFt. - Waterfront Decks,"2019-03-23T17:42:14-0700,2019-03-23T17:42:14-0700,2019-03-26T09:34:07-0700",,California,LA
21,21,2.0,3.0,13,6850938673,Mar 26,32.760519,https://sandiego.craigslist.org/csd/apa/d/apply-today-3-bedroom-2-bath-on-special/6850938673.html,-117.176879,4,"2019-03-26T10:54:26-0700,2019-03-26T10:54:26-0700",2995.0,0,1374.0,Apply Today! 3 Bedroom 2 Bath on Special!,"2019-03-26T10:54:26-0700,2019-03-26T10:54:26-0700",,California,San Diego
22,22,1.0,1.0,32,6830245210,Mar 26,34.089349,https://losangeles.craigslist.org/wst/apa/d/west-hollywood-beautiful-one-bedroom-in/6830245210.html,-118.388482,12,"2019-02-28T09:28:32-0800,2019-02-28T09:28:32-0800,2019-03-26T10:07:59-0700",1950.0,0,,Beautiful One Bedroom in the Heart of West Hollywood!,"2019-02-28T09:28:32-0800,2019-02-28T09:28:32-0800,2019-03-26T10:07:59-0700",,California,West Hollywood
23,23,1.0,1.0,48,6850855246,Mar 26,37.772721,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-at-last-this-is-what-you/6850855246.html,-122.391183,8,"2019-03-26T09:35:09-0700,2019-03-26T09:35:09-0700",4173.0,0,751.0,"At Last, This Is What You Have Been Searching For","2019-03-26T09:35:09-0700,2019-03-26T09:35:09-0700",,California,SF
24,24,1.0,1.0,6,6847623595,Mar 26,32.697563,https://sandiego.craigslist.org/csd/apa/d/san-diego-san-diego-unit/6847623595.html,-117.142532,4,"2019-03-22T08:51:41-0700,2019-03-22T08:51:41-0700,2019-03-26T10:13:27-0700",1400.0,0,800.0,San Diego Unit,"2019-03-22T08:51:41-0700,2019-03-22T08:51:41-0700,2019-03-26T10:13:27-0700",,California,San Diego
25,25,1.0,1.0,27,6842085865,Mar 25,33.5021,https://phoenix.craigslist.org/cph/apa/d/phoenix-you-deserve-free-personal/6842085865.html,-112.0305,0,"2019-03-15T09:31:56-0700,2019-03-15T09:31:56-0700,2019-03-25T09:09:20-0700",1244.0,0,,"You deserve a FREE personal Apartment Shopper, in business since 1959","2019-03-15T09:31:56-0700,2019-03-15T09:31:56-0700,2019-03-25T09:09:20-0700",,Arizona,Phoenix
26,26,1.0,1.0,55,6849982643,Mar 25,33.502043,https://phoenix.craigslist.org/cph/apa/d/phoenix-fall-in-love-with-new/6849982643.html,-112.074151,24,"2019-03-25T09:08:38-0700,2019-03-25T09:08:38-0700,2019-03-25T09:08:39-0700",1285.0,0,783.0,💗💗Fall in love with NEW💗💗,"2019-03-25T09:08:38-0700,2019-03-25T09:08:38-0700,2019-03-25T09:08:39-0700",,Arizona,Phoenix
27,27,1.5,2.0,39,6850855012,Mar 26,33.911759,https://losangeles.craigslist.org/wst/apa/d/1000-deposit-move-in-special/6850855012.html,-118.339409,0,"2019-03-26T09:34:56-0700,2019-03-26T09:34:56-0700",1735.0,0,1000.0,$1000 DEPOSIT MOVE-IN SPECIAL!!,"2019-03-26T09:34:56-0700,2019-03-26T09:34:56-0700",,California,Hawthorne
28,28,1.0,0.0,3,6839667254,Mar 26,34.010012,https://losangeles.craigslist.org/wst/apa/d/los-angeles-cozy-studio-near-usc/6839667254.html,-118.314628,5,"2019-03-12T10:03:30-0700,2019-03-12T10:03:30-0700,2019-03-26T09:03:20-0700",1149.0,0,400.0,@@@@COZY STUDIO NEAR USC@@@@,"2019-03-12T10:03:30-0700,2019-03-12T10:03:30-0700,2019-03-26T09:03:20-0700",,California,LA
29,29,2.0,2.0,24,6850790854,Mar 26,37.780265,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-2-bedroom-perfect-for-3/6850790854.html,-122.403387,19,"2019-03-26T08:34:47-0700,2019-03-26T08:34:47-0700",5200.0,0,990.0,2 Bedroom PERFECT FOR 3 ROOMMATES! Mid-,"2019-03-26T08:34:47-0700,2019-03-26T08:34:47-0700",,California,SF
30,30,1.0,1.0,36,6850820912,Mar 26,33.959712,https://losangeles.craigslist.org/wst/apa/d/playa-del-rey-granite-counter-tops/6850820912.html,-118.41941,3,"2019-03-26T09:03:31-0700,2019-03-26T09:03:31-0700",2490.0,0,,"Granite Counter tops, Pools, Stainless Steel Appliances, Steam Rooms","2019-03-26T09:03:31-0700,2019-03-26T09:03:31-0700",,California,LA
31,31,1.0,1.0,22,6850790722,Mar 26,37.7621,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-lux-1-bed-in-heart-of-mid/6850790722.html,-122.3971,19,"2019-03-26T08:34:39-0700,2019-03-26T08:34:39-0700",3800.0,0,650.0,"LUX 1 Bed in Heart of MID MARKET! Gym, Rooftop Deck- PET FRIENDLY!","2019-03-26T08:34:39-0700,2019-03-26T08:34:39-0700",,California,SF
32,32,2.0,2.0,54,6850865380,Mar 26,32.556852,https://sandiego.craigslist.org/csd/apa/d/san-diego-beautiful-apartment-with-walk/6850865380.html,-117.065818,13,"2019-03-26T09:44:38-0700,2019-03-26T09:44:38-0700",1810.0,0,,BEAUTIFUL APARTMENT WITH WALK IN CLOSET AVAILABLE!!,"2019-03-26T09:44:38-0700,2019-03-26T09:44:38-0700",,California,San Diego
33,33,2.0,2.0,40,6848916548,Mar 26,32.722998,https://sandiego.craigslist.org/csd/apa/d/san-diego-2-bed-2-bath-in-piazza-della/6848916548.html,-117.167852,24,"2019-03-23T17:57:16-0700,2019-03-23T17:57:16-0700,2019-03-26T09:43:34-0700",4395.0,0,,2 BED/2 BATH in Piazza della Famiglia @ VICI,"2019-03-23T17:57:16-0700,2019-03-23T17:57:16-0700,2019-03-26T09:43:34-0700",,California,San Diego
34,34,2.5,3.0,3,6849722178,Mar 24,33.465228,https://phoenix.craigslist.org/cph/apa/d/phoenix-awesome-home-in-phoenix/6849722178.html,-112.172543,11,"2019-03-24T23:25:47-0700,2019-03-24T23:25:47-0700",800.0,0,1984.0,AWESOME HOME IN PHOENIX AVAILABLE NOW COME MAKE IT YOURS,"2019-03-24T23:25:47-0700,2019-03-24T23:25:47-0700",,Arizona,Phoenix
35,35,2.5,3.0,3,6849720538,Mar 24,33.465228,https://phoenix.craigslist.org/cph/apa/d/phoenix-maintained-beautiful-3bedroom/6849720538.html,-112.172543,11,"2019-03-24T23:15:20-0700,2019-03-24T23:15:20-0700",1100.0,0,1984.0,MAINTAINED BEAUTIFUL 3BEDROOM HOME CURRENTLY AVAILABLE FOR RENT,"2019-03-24T23:15:20-0700,2019-03-24T23:15:20-0700",,Arizona,Phoenix
36,36,1.0,1.0,33,6840342026,Mar 26,33.841113,https://losangeles.craigslist.org/wst/apa/d/large-fully-renovated-apartment-in-west/6840342026.html,-118.349685,8,"2019-03-13T07:26:51-0700,2019-03-13T07:26:51-0700,2019-03-26T07:12:26-0700",1595.0,0,650.0,LARGE FULLY RENOVATED APARTMENT IN WEST TORRANCE-ALL UTILITIES INCLUDE,"2019-03-13T07:26:51-0700,2019-03-13T07:26:51-0700,2019-03-26T07:12:26-0700",,California,Torrance
